htgrk,htypek,gtypek,grunntype
M,M-1,M1-E-4,M1-E-4  sag­tang­bunn
M,M-1,M1-E-5,M1-E-5  stor­tare­skog
M,M-1,M1-E-6,M1-E-6  fin­gertare­bunn
M,M-1,M1-E-7,M1-E-7  svær­t ­eks­po­ner­t ­fast­bunn
M,M-1,M1-E-8,M1-E-8  noks­å ­brakk s­vær­t ­be­skyt­tet ­fast al­ge­bunn
M,M-1,M1-E-9,M1-E-9  noks­å ­brakk ­be­skyt­tet-­eks­po­ner­t ­sub­li­to­ral ­fast­bunn
M,M-10,M10-E-1,M10-E-1  ytre bren­nings­grot­te
M,M-10,M10-E-2,M10-E-2  ytre ­ma­rin ­grunt­vanns­grot­te
M,M-10,M10-E-3,M10-E-3  ma­rin ­dyp­grot­te
M,M-10,M10-E-4,M10-E-4  indre bren­nings­grot­te
M,M-10,M10-E-5,M10-E-5  indre ­ma­rin ­grunt­vanns­grot­te
M,M-11,M11-E-1,M11-E-1  Usta­bil ­kil­de på ­sub­li­to­ral sok­kel
M,M-11,M11-E-2,M11-E-2  Sta­bil ­kil­de på ­sub­li­to­ral sok­kel
M,M-11,M11-E-3,M11-E-3  Usta­bil ­kil­de i ­ned­re ­sub­li­to­ral
M,M-11,M11-E-4,M11-E-4  Sta­bil ­kil­de i ­ned­re ­sub­li­to­ral
M,M-11,M11-E-5,M11-E-5  Usta­bil ­dyp­havs­kil­de
M,M-11,M11-E-6,M11-E-6  Sta­bil ­dyp­havs­kil­de
M,M-11,M11-E-7,M11-E-7  Mud­der­vul­kan
M,M-12,M12-E-1,M12-E-1  ob­ser­ver­bar­t og ­litt jord­var­mein­flu­er­t ­kil­de i øv­re ­sub­li­to­ral
M,M-12,M12-E-2,M12-E-2  ob­ser­ver­bar­t og ­litt jord­var­mein­flu­er­t ­kil­de i ­ned­re ­sub­li­to­ral
M,M-12,M12-E-3,M12-E-3  ob­ser­ver­bar­t og ­litt jord­var­mein­flu­er­t ­kil­de i ­dyp­ha­vet
M,M-12,M12-E-4,M12-E-4  Sterk­t jord­var­mein­flu­er­t ­kil­de i øv­re ­sub­li­to­ral
M,M-12,M12-E-5,M12-E-5  tem­me­lig og sterk­t jord­var­mein­flu­er­t ­kil­de i ­ned­re ­sub­li­to­ral
M,M-12,M12-E-6,M12-E-6  tem­me­lig og sterk­t jord­var­mein­flu­er­t ­kil­de i ­dyp­ha­vet
M,M-12,M12-E-7,M12-E-7  eks­trem­t sterk­t og ­dis­rup­tiv jord­var­mein­flu­er­t ­kil­de
M,M-13,M13-E-1,M13-E-1  Pe­rio­disk an­ok­sisk ­grun­ne­re ­se­di­ment­bunn
M,M-13,M13-E-2,M13-E-2  Pe­rio­disk an­ok­sisk ­dy­pe­re ­se­di­ment­bunn
M,M-13,M13-E-3,M13-E-3  An­ok­sisk ­grun­ne­re ­se­di­ment­bunn
M,M-13,M13-E-4,M13-E-4  An­ok­sisk ­dy­pe­re ­se­di­ment­bunn
M,M-14,M14-E-1,M14-E-1  Sterk­t ­endret ­ma­rin ­fast­bunn i ­tide­vanns­so­nen
M,M-14,M14-E-2,M14-E-2  Sterk­t ­endret ­grunn ­ma­rin ­fast­bunn
M,M-14,M14-E-3,M14-E-3  Sterk­t ­endret ­dyp ­ma­rin ­fast­bunn
M,M-15,M15-E-1,M15-E-1  Sterk­t ­endret sand- og ­grus­bunn
M,M-15,M15-E-2,M15-E-2  Sterk­t ­endret ­løs­bunn
M,M-15,M15-E-3,M15-E-3  Sterk­t ­endret stein­bunn
M,M-15,M15-E-4,M15-E-4  Sterk­t ­for­uren­set ­løs­bunn
M,M-2,M2-E-1,M2-E-1  dy­pe­re ­fast­bunn i øv­re ­sub­li­to­ral ­med ­li­te ­strøm
M,M-2,M2-E-10,M2-E-10  strøm­på­vir­ket ­fast­bunn i a­bys­sal
M,M-2,M2-E-11,M2-E-11  fast­bunn ­dan­net av var­me ­kil­der i ­at­lan­tisk ­vann
M,M-2,M2-E-12,M2-E-12  abys­sal ­fast­bunn ­dan­net av var­me ­kil­der
