pid,_id,elementarySegmentGroup_id,majorTypeLEC_id
155,KA.e/UF.g/KI.0a,UF.g,T4-UF
156,KA.e/UF.g/KI.0a,KI.0a,T4-KI
157,KA.f/UF.g/KI.0a,KA.f,T4-KA
158,KA.f/UF.g/KI.0a,UF.g,T4-UF
159,KA.f/UF.g/KI.0a,KI.0a,T4-KI
160,KA.g/UF.g/KI.0a,KA.g,T4-KA
161,KA.g/UF.g/KI.0a,UF.g,T4-UF
162,KA.g/UF.g/KI.0a,KI.0a,T4-KI
163,KA.h/UF.g/KI.0a,KA.h,T4-KA
164,KA.h/UF.g/KI.0a,UF.g,T4-UF
165,KA.h/UF.g/KI.0a,KI.0a,T4-KI
166,KA.i/UF.g/KI.0a,KA.i,T4-KA
167,KA.i/UF.g/KI.0a,UF.g,T4-UF
168,KA.i/UF.g/KI.0a,KI.0a,T4-KI
169,KA.ab/UF.h/KI.0a,KA.ab,T4-KA
170,KA.ab/UF.h/KI.0a,UF.h,T4-UF
171,KA.ab/UF.h/KI.0a,KI.0a,T4-KI
172,KA.c/UF.h/KI.0a,KA.c,T4-KA
173,KA.c/UF.h/KI.0a,UF.h,T4-UF
174,KA.c/UF.h/KI.0a,KI.0a,T4-KI
175,KA.d/UF.h/KI.0a,KA.d,T4-KA
176,KA.d/UF.h/KI.0a,UF.h,T4-UF
177,KA.d/UF.h/KI.0a,KI.0a,T4-KI
178,KA.e/UF.h/KI.0a,KA.e,T4-KA
179,KA.e/UF.h/KI.0a,UF.h,T4-UF
180,KA.e/UF.h/KI.0a,KI.0a,T4-KI
181,KA.f/UF.h/KI.0a,KA.f,T4-KA
182,KA.f/UF.h/KI.0a,UF.h,T4-UF
183,KA.f/UF.h/KI.0a,KI.0a,T4-KI
184,KA.g/UF.h/KI.0a,KA.g,T4-KA
185,KA.g/UF.h/KI.0a,UF.h,T4-UF
186,KA.g/UF.h/KI.0a,KI.0a,T4-KI
187,KA.h/UF.h/KI.0a,KA.h,T4-KA
188,KA.h/UF.h/KI.0a,UF.h,T4-UF
189,KA.h/UF.h/KI.0a,KI.0a,T4-KI
190,KA.i/UF.h/KI.0a,KA.i,T4-KA
191,KA.i/UF.h/KI.0a,UF.h,T4-UF
192,KA.i/UF.h/KI.0a,KI.0a,T4-KI
193,KA.d/UF.a/KI.bc,KA.d,T4-KA
194,KA.d/UF.a/KI.bc,UF.a,T4-UF
195,KA.d/UF.a/KI.bc,KI.bc,T4-KI
196,KA.d/UF.b/KI.bc,KA.d,T4-KA
197,KA.d/UF.b/KI.bc,UF.b,T4-UF
198,KA.d/UF.b/KI.bc,KI.bc,T4-KI
199,KA.e/UF.a/KI.bc,KA.e,T4-KA
200,KA.e/UF.a/KI.bc,UF.a,T4-UF
201,KA.e/UF.a/KI.bc,KI.bc,T4-KI
202,KA.e/UF.b/KI.bc,KA.e,T4-KA
203,KA.e/UF.b/KI.bc,UF.b,T4-UF
204,KA.e/UF.b/KI.bc,KI.bc,T4-KI
