"","htgrk","htypek","gtypek","grunntype","adb_id"
78,"F","F09","F09-C-07","F9-C-7 - Kalkrike grunne nye innsjø-vannmasser med fisk","NA F9-C-7"
79,"F","F09","F09-C-08","F9-C-8 - Kalkrike lagdelte nye innsjø-vannmasser med fisk","NA F9-C-8"
80,"F","F10","F10-C-01","F10-C-1 - Kronisk kjemisk påvirkede innsjø-vannmasser","NA F10-C-1"
81,"F","F10","F10-C-02","F10-C-2 - Kronisk saltpåvirkede innsjø-vannmasser","NA F10-C-2"
82,"F","F10","F10-C-03","F10-C-3 - Kronisk eutrofierte innsjø-vannmasser","NA F10-C-3"
83,"F","F10","F10-C-04","F10-C-4 - Kronisk forsurede innsjø-vannmasser","NA F10-C-4"
84,"F","F11","F11-C-01","F11-C-1 - Sterkt endrede kalkfattige innsjø-vannmasser preget av introduksjon eller bortfall av strukturerende organismer","NA F11-C-1"
85,"F","F11","F11-C-02","F11-C-2 - Sterkt endrede kalkrike innsjø-vannmasser preget av introduksjon eller bortfall av strukturerende organismer","NA F11-C-2"
86,"F","F12","F12-C-01","F12-C-1 - Sterkt forsurede elvevannmasser","NA F12-C-1"
87,"F","F13","F13-C-01","F13-C-1 - Sterkt endrede kalkfattige elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer","NA F13-C-1"
88,"F","F13","F13-C-02","F13-C-2 - Sterkt endrede kalkrike elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer","NA F13-C-2"
89,"I","I01","I01-C-01","I1-C-1 - snø- og isdekt fastmark","NA I1-C-1"
90,"L","L01","L01-C-01","L1-C-1 - Svært kalkfattig og beskyttet fast strandkant-innsjøbunn","NA L1-C-1"
91,"L","L01","L01-C-02","L1-C-2 - Svært kalkfattig og eksponert fast strandkant-innsjøbunn","NA L1-C-2"
92,"L","L01","L01-C-03","L1-C-3 - Svært kalkfattig beskyttet grunn fast innsjøbunn","NA L1-C-3"
93,"L","L01","L01-C-04","L1-C-4 - Noe kalkfattig og beskyttet fast strandkant-innsjøbunn","NA L1-C-4"
94,"L","L01","L01-C-05","L1-C-5 - Noe kalkfattig og eksponert fast strandkant-innsjøbunn","NA L1-C-5"
95,"L","L01","L01-C-06","L1-C-6 - Noe kalkfattig beskyttet grunn fast innsjøbunn","NA L1-C-6"
96,"L","L01","L01-C-07","L1-C-7 - Moderat kalkrik og beskyttet fast strandkant-innsjøbunn ","NA L1-C-7"
97,"L","L01","L01-C-08","L1-C-8 - Moderat kalkrik og eksponert fast strandkant-innsjøbunn","NA L1-C-8"
98,"L","L01","L01-C-09","L1-C-9 - Moderat kalkrik beskyttet grunn fast innsjøbunn","NA L1-C-9"
99,"L","L01","L01-C-10","L1-C-10 - Svært kalkrik og beskyttet fast strandkant-innsjøbunn","NA L1-C-10"
100,"L","L01","L01-C-11","L1-C-11 - Svært kalkrik og eksponert fast strandkant-innsjøbunn","NA L1-C-11"
101,"L","L01","L01-C-12","L1-C-12 - Svært kalkrik beskyttet grunn fast innsjøbunn","NA L1-C-12"
