"","htgrk","htypek","gtypek","grunntype","label","adb_id"
16,"F","F01","F01-C-16","F1-C-16 - Noe kalkfattige og humøse lagdelte vannmasser med komplekst fiskesamfunn","F1-C-16","NA F1-C-16"
17,"F","F01","F01-C-17","F1-C-17 - Moderat kalkrike lagdelte vannmasser med komplekst fiskesamfunn","F1-C-17","NA F1-C-17"
18,"F","F01","F01-C-18","F1-C-18 - Svært kalkrike lagdelte vannmasser med komplekst fiskesamfunn","F1-C-18","NA F1-C-18"
19,"F","F02","F02-C-01","F2-C-1 - Svært kalkfattige og klare grunne vannmasser med enkelt fiskesamfunn","F2-C-1","NA F2-C-1"
20,"F","F02","F02-C-02","F2-C-2 - Svært kalkfattige og humøse grunne vannmasser med enkelt fiskesamfunn","F2-C-2","NA F2-C-2"
21,"F","F02","F02-C-03","F2-C-3 - Noe kalkfattige og klare grunne vannmasser med enkelt fiskesamfunn","F2-C-3","NA F2-C-3"
22,"F","F02","F02-C-04","F2-C-4 - Noe kalkfattige og humøse grunne vannmasser med enkelt fiskesamfunn","F2-C-4","NA F2-C-4"
23,"F","F02","F02-C-05","F2-C-5 - Moderat kalkrike grunne vannmasser med enkelt fiskesamfunn","F2-C-5","NA F2-C-5"
24,"F","F02","F02-C-06","F2-C-6 - Svært kalkrike grunne vannmasser med enkelt fiskesamfunn","F2-C-6","NA F2-C-6"
25,"F","F02","F02-C-07","F2-C-7 - Svært kalkfattige og klare grunne vannmasser med middels komplekst fiskesamfunn","F2-C-7","NA F2-C-7"
26,"F","F02","F02-C-08","F2-C-8 - Svært kalkfattige og humøse grunne vannmasser med middels komplekst fiskesamfunn","F2-C-8","NA F2-C-8"
27,"F","F02","F02-C-09","F2-C-9 - Noe kalkfattige og klare grunne vannmasser med middels komplekst fiskesamfunn","F2-C-9","NA F2-C-9"
28,"F","F02","F02-C-10","F2-C-10 - Noe kalkfattige og humøse grunne vannmasser med middels komplekst fiskesamfunn","F2-C-10","NA F2-C-10"
29,"F","F02","F02-C-11","F2-C-11 - Moderat kalkrike grunne vannmasser med middels komplekst fiskesamfunn","F2-C-11","NA F2-C-11"
30,"F","F02","F02-C-12","F2-C-12 - Svært kalkrike grunne vannmasser med middels komplekst fiskesamfunn","F2-C-12","NA F2-C-12"
31,"F","F02","F02-C-13","F2-C-13 - Svært kalkfattige og klare grunne vannmasser med komplekst fiskesamfunn","F2-C-13","NA F2-C-13"
32,"F","F02","F02-C-14","F2-C-14 - Svært kalkfattige og humøse grunne vannmasser med komplekst fiskesamfunn","F2-C-14","NA F2-C-14"
33,"F","F02","F02-C-15","F2-C-15 - Noe kalkfattige og klare grunne vannmasser med komplekst fiskesamfunn","F2-C-15","NA F2-C-15"
34,"F","F02","F02-C-16","F2-C-16 - Noe kalkfattige og humøse grunne vannmasser med komplekst fiskesamfunn","F2-C-16","NA F2-C-16"
35,"F","F02","F02-C-17","F2-C-17 - Moderat kalkrike grunne vannmasser med komplekst fiskesamfunn","F2-C-17","NA F2-C-17"
36,"F","F02","F02-C-18","F2-C-18 - Svært kalkrike grunne vannmasser med komplekst fiskesamfunn","F2-C-18","NA F2-C-18"
37,"F","F03","F03-C-01","F3-C-1 - Svært kalkfattige og klare lagdelte vannmasser uten fisk","F3-C-1","NA F3-C-1"
38,"F","F03","F03-C-02","F3-C-2 - Svært kalkfattige og humøse lagdelte vannmasser uten fisk","F3-C-2","NA F3-C-2"
39,"F","F03","F03-C-03","F3-C-3 - Noe kalkfattige og klare lagdelte vannmasser uten fisk","F3-C-3","NA F3-C-3"
40,"F","F03","F03-C-04","F3-C-4 - Noe kalkfattige og humøse lagdelte vannmasser uten fisk","F3-C-4","NA F3-C-4"
41,"F","F03","F03-C-05","F3-C-5 - Moderat kalkrike lagdelte vannmasser uten fisk","F3-C-5","NA F3-C-5"
42,"F","F03","F03-C-06","F3-C-6 - Svært kalkrike lagdelte vannmasser uten fisk","F3-C-6","NA F3-C-6"
43,"F","F04","F04-C-01","F4-C-1 - Svært kalkfattige og klare store grunne vannmasser uten fisk","F4-C-1","NA F4-C-1"
44,"F","F04","F04-C-02","F4-C-2 - Svært kalkfattige og klare små grunne vannmasser uten fisk","F4-C-2","NA F4-C-2"
45,"F","F04","F04-C-03","F4-C-3 - Noe kalkfattige og klare store grunne vannmasser uten fisk","F4-C-3","NA F4-C-3"
46,"F","F04","F04-C-04","F4-C-4 - Noe kalkfattige og klare små grunne vannmasser uten fisk","F4-C-4","NA F4-C-4"
47,"F","F04","F04-C-05","F4-C-5 - Moderat kalkrike og klare store grunne vannmasser uten fisk","F4-C-5","NA F4-C-5"
48,"F","F04","F04-C-06","F4-C-6 - Moderat kalkrike og klare små grunne vannmasser uten fisk","F4-C-6","NA F4-C-6"
49,"F","F04","F04-C-07","F4-C-7 - Svært kalkrike og klare store grunne vannmasser uten fisk","F4-C-7","NA F4-C-7"
50,"F","F04","F04-C-08","F4-C-8 - Svært kalkrike og klare små grunne vannmasser uten fisk","F4-C-8","NA F4-C-8"
51,"F","F04","F04-C-09","F4-C-9 - Svært kalkfattige og humøse store grunne vannmasser uten fisk","F4-C-9","NA F4-C-9"
52,"F","F04","F04-C-10","F4-C-10 - Svært kalkfattige og humøse små grunne vannmasser uten fisk","F4-C-10","NA F4-C-10"
53,"F","F04","F04-C-11","F4-C-11 - Noe kalkfattige og humøse store grunne vannmasser uten fisk","F4-C-11","NA F4-C-11"
54,"F","F04","F04-C-12","F4-C-12 - Noe kalkfattige og humøse små grunne vannmasser uten fisk","F4-C-12","NA F4-C-12"
55,"F","F04","F04-C-13","F4-C-13 - Moderat kalkrike og humøse store grunne vannmasser uten fisk","F4-C-13","NA F4-C-13"
56,"F","F04","F04-C-14","F4-C-14 - Moderat kalkrike og humøse små grunne vannmasser uten fisk","F4-C-14","NA F4-C-14"
57,"F","F04","F04-C-15","F4-C-15 - Svært kalkrike og humøse store grunne vannmasser uten fisk","F4-C-15","NA F4-C-15"
58,"F","F04","F04-C-16","F4-C-16 - Svært kalkrike og humøse små grunne vannmasser uten fisk","F4-C-16","NA F4-C-16"
59,"F","F04","F04-C-17","F4-C-17 - Små og grunne humøse vannmasser uten fisk (høljegjøl)","F4-C-17","NA F4-C-17"
60,"F","F05","F05-C-01","F5-C-1 - Kalkfattige litt turbide vannmasser","F5-C-1","NA F5-C-1"
61,"F","F05","F05-C-02","F5-C-2 - Kalkrike litt turbide vannmasser","F5-C-2","NA F5-C-2"
62,"F","F05","F05-C-03","F5-C-3 - Svært turbide vannmasser","F5-C-3","NA F5-C-3"
63,"F","F06","F06-C-01","F6-C-1 - Grottesjø-vannmasser","F6-C-1","NA F6-C-1"
64,"F","F07","F07-C-01","F7-C-1 - Innsjø-vannmasser med periodisk oksygenmangel","F7-C-1","NA F7-C-1"
65,"F","F07","F07-C-02","F7-C-2 - Anoksiske innsjø-vannmasser betinget av gammelt havvann","F7-C-2","NA F7-C-2"
66,"F","F07","F07-C-03","F7-C-3 - Anoksiske innsjø-vannmasser betinget av saltholdig kildevann","F7-C-3","NA F7-C-3"
67,"F","F07","F07-C-04","F7-C-4 - Anoksiske innsjø-vannmasser betinget av jernholdig vann","F7-C-4","NA F7-C-4"
68,"F","F07","F07-C-05","F7-C-5 - Anoksiske innsjø-vannmasser betinget av kalkrikt vann","F7-C-5","NA F7-C-5"
69,"F","F07","F07-C-06","F7-C-6 - Anoksiske innsjø-vannmasser betinget av humusrikt vann","F7-C-6","NA F7-C-6"
70,"F","F08","F08-C-01","F8-C-1 - Elvevannmasser uten fisk","F8-C-1","NA F8-C-1"
71,"F","F08","F08-C-02","F8-C-2 - Elvevannmasser med fisk","F8-C-2","NA F8-C-2"
72,"F","F09","F09-C-01","F9-C-1 - Kalkfattige grunne nye innsjø-vannmasser uten fisk","F9-C-1","NA F9-C-1"
73,"F","F09","F09-C-02","F9-C-2 - Kalkfattige lagdelte nye innsjø-vannmasser uten fisk","F9-C-2","NA F9-C-2"
74,"F","F09","F09-C-03","F9-C-3 - Kalkrike grunne nye innsjø-vannmasser uten fisk","F9-C-3","NA F9-C-3"
75,"F","F09","F09-C-04","F9-C-4 - Kalkrike lagdelte nye innsjø-vannmasser uten fisk","F9-C-4","NA F9-C-4"
76,"F","F09","F09-C-05","F9-C-5 - Kalkfattige grunne nye innsjø-vannmasser med fisk","F9-C-5","NA F9-C-5"
77,"F","F09","F09-C-06","F9-C-6 - Kalkfattige lagdelte nye innsjø-vannmasser med fisk","F9-C-6","NA F9-C-6"
78,"F","F09","F09-C-07","F9-C-7 - Kalkrike grunne nye innsjø-vannmasser med fisk","F9-C-7","NA F9-C-7"
79,"F","F09","F09-C-08","F9-C-8 - Kalkrike lagdelte nye innsjø-vannmasser med fisk","F9-C-8","NA F9-C-8"
80,"F","F10","F10-C-01","F10-C-1 - Kronisk kjemisk påvirkede innsjø-vannmasser","F10-C-1","NA F10-C-1"
81,"F","F10","F10-C-02","F10-C-2 - Kronisk saltpåvirkede innsjø-vannmasser","F10-C-2","NA F10-C-2"
82,"F","F10","F10-C-03","F10-C-3 - Kronisk eutrofierte innsjø-vannmasser","F10-C-3","NA F10-C-3"
83,"F","F10","F10-C-04","F10-C-4 - Kronisk forsurede innsjø-vannmasser","F10-C-4","NA F10-C-4"
84,"F","F11","F11-C-01","F11-C-1 - Sterkt endrede kalkfattige innsjø-vannmasser preget av introduksjon eller bortfall av strukturerende organismer","F11-C-1","NA F11-C-1"
85,"F","F11","F11-C-02","F11-C-2 - Sterkt endrede kalkrike innsjø-vannmasser preget av introduksjon eller bortfall av strukturerende organismer","F11-C-2","NA F11-C-2"
86,"F","F12","F12-C-01","F12-C-1 - Sterkt forsurede elvevannmasser","F12-C-1","NA F12-C-1"
87,"F","F13","F13-C-01","F13-C-1 - Sterkt endrede kalkfattige elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer","F13-C-1","NA F13-C-1"
88,"F","F13","F13-C-02","F13-C-2 - Sterkt endrede kalkrike elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer","F13-C-2","NA F13-C-2"
89,"I","I01","I01-C-01","I1-C-1 - snø- og isdekt fastmark","I1-C-1","NA I1-C-1"
90,"L","L01","L01-C-01","L1-C-1 - Svært kalkfattig og beskyttet fast strandkant-innsjøbunn","L1-C-1","NA L1-C-1"
91,"L","L01","L01-C-02","L1-C-2 - Svært kalkfattig og eksponert fast strandkant-innsjøbunn","L1-C-2","NA L1-C-2"
92,"L","L01","L01-C-03","L1-C-3 - Svært kalkfattig beskyttet grunn fast innsjøbunn","L1-C-3","NA L1-C-3"
93,"L","L01","L01-C-04","L1-C-4 - Noe kalkfattig og beskyttet fast strandkant-innsjøbunn","L1-C-4","NA L1-C-4"
94,"L","L01","L01-C-05","L1-C-5 - Noe kalkfattig og eksponert fast strandkant-innsjøbunn","L1-C-5","NA L1-C-5"
95,"L","L01","L01-C-06","L1-C-6 - Noe kalkfattig beskyttet grunn fast innsjøbunn","L1-C-6","NA L1-C-6"
96,"L","L01","L01-C-07","L1-C-7 - Moderat kalkrik og beskyttet fast strandkant-innsjøbunn ","L1-C-7","NA L1-C-7"
97,"L","L01","L01-C-08","L1-C-8 - Moderat kalkrik og eksponert fast strandkant-innsjøbunn","L1-C-8","NA L1-C-8"
98,"L","L01","L01-C-09","L1-C-9 - Moderat kalkrik beskyttet grunn fast innsjøbunn","L1-C-9","NA L1-C-9"
99,"L","L01","L01-C-10","L1-C-10 - Svært kalkrik og beskyttet fast strandkant-innsjøbunn","L1-C-10","NA L1-C-10"
100,"L","L01","L01-C-11","L1-C-11 - Svært kalkrik og eksponert fast strandkant-innsjøbunn","L1-C-11","NA L1-C-11"
101,"L","L01","L01-C-12","L1-C-12 - Svært kalkrik beskyttet grunn fast innsjøbunn","L1-C-12","NA L1-C-12"
102,"L","L01","L01-C-13","L1-C-13 - Turbid eufotisk fast innsjøbunn","L1-C-13","NA L1-C-13"
103,"L","L02","L02-C-01","L2-C-1 - Svært kalkfattig fin innsjø-sedimentbunn i strandkant","L2-C-1","NA L2-C-1"
104,"L","L02","L02-C-02","L2-C-2 - Noe kalkfattig fin innsjø-sedimentbunn i strandkant","L2-C-2","NA L2-C-2"
105,"L","L02","L02-C-03","L2-C-3 - Svært kalkfattig fin innsjø-sedimentbunn i plantebeltet","L2-C-3","NA L2-C-3"
106,"L","L02","L02-C-04","L2-C-4 - Noe kalkfattig fin innsjø-sedimentbunn i plantebeltet","L2-C-4","NA L2-C-4"
107,"L","L02","L02-C-05","L2-C-5 - Svært kalkfattig grov innsjø-sedimentbunn i strandkant","L2-C-5","NA L2-C-5"
108,"L","L02","L02-C-06","L2-C-6 - Noe kalkfattig grov innsjø-sedimentbunn i strandkant","L2-C-6","NA L2-C-6"
109,"L","L02","L02-C-07","L2-C-7 - Svært kalkfattig grov innsjø-sedimentbunn i plantebeltet","L2-C-7","NA L2-C-7"
110,"L","L02","L02-C-08","L2-C-8 - Noe kalkfattig grov innsjø-sedimentbunn i plantebeltet","L2-C-8","NA L2-C-8"
111,"L","L02","L02-C-09","L2-C-9 - Moderat kalkrik fin innsjø-sedimentbunn i strandkant","L2-C-9","NA L2-C-9"
112,"L","L02","L02-C-10","L2-C-10 - Svært kalkrik fin innsjø-sedimentbunn i strandkant","L2-C-10","NA L2-C-10"
113,"L","L02","L02-C-11","L2-C-11 - Moderat kalkrik fin innsjø-sedimentbunn i plantebeltet","L2-C-11","NA L2-C-11"
114,"L","L02","L02-C-12","L2-C-12 - Svært kalkrik fin innsjø-sedimentbunn i plantebeltet","L2-C-12","NA L2-C-12"
115,"L","L02","L02-C-13","L2-C-13 - Moderat kalkrik grov innsjø-sedimentbunn i strandkant","L2-C-13","NA L2-C-13"
116,"L","L02","L02-C-14","L2-C-14 - Svært kalkrik grov innsjø-sedimentbunn i strandkant","L2-C-14","NA L2-C-14"
117,"L","L02","L02-C-15","L2-C-15 - Moderat kalkrik grov innsjø-sedimentbunn i plantebeltet","L2-C-15","NA L2-C-15"
118,"L","L02","L02-C-16","L2-C-16 - Svært kalkrik grov innsjø-sedimentbunn i plantebeltet","L2-C-16","NA L2-C-16"
119,"L","L02","L02-C-17","L2-C-17 - Turbid eufotisk innsjø-sedimentbunn","L2-C-17","NA L2-C-17"
120,"L","L03","L03-C-01","L3-C-1 - Kalkfattig dyp innsjøbunn","L3-C-1","NA L3-C-1"
121,"L","L03","L03-C-02","L3-C-2 - Moderat kalkrik dyp innsjøbunn","L3-C-2","NA L3-C-2"
122,"L","L03","L03-C-03","L3-C-3 - Svært kalkrik dyp innsjøbunn","L3-C-3","NA L3-C-3"
123,"L","L04","L04-C-01","L4-C-1 - Kalkfattig helofyttsump","L4-C-1","NA L4-C-1"
124,"L","L04","L04-C-02","L4-C-2 - Litt kalkfattig til intermediær helofyttsump","L4-C-2","NA L4-C-2"
125,"L","L04","L04-C-03","L4-C-3 - Kalkrik helofyttsump","L4-C-3","NA L4-C-3"
126,"L","L05","L05-C-01","L5-C-1 - Kalkfattig undervannseng i innsjø","L5-C-1","NA L5-C-1"
127,"L","L05","L05-C-02","L5-C-2 - Moderat kalkrik undervannseng i innsjø","L5-C-2","NA L5-C-2"
128,"L","L05","L05-C-03","L5-C-3 - Svært kalkrik undervannseng i innsjø","L5-C-3","NA L5-C-3"
129,"L","L05","L05-C-04","L5-C-4 - Kalkfattig undervannseng i elv","L5-C-4","NA L5-C-4"
130,"L","L05","L05-C-05","L5-C-5 - Moderat kalkrik undervannseng i elv","L5-C-5","NA L5-C-5"
131,"L","L06","L06-C-01","L6-C-1 - Svært kalkfattig flarkgjøl-bunn på fast torv ","L6-C-1","NA L6-C-1"
132,"L","L06","L06-C-02","L6-C-2 - Noe kalkfattig flarkgjøl-bunn på fast torv ","L6-C-2","NA L6-C-2"
133,"L","L06","L06-C-03","L6-C-3 - Moderat kalkrik flarkgjøl-bunn på fast torv ","L6-C-3","NA L6-C-3"
134,"L","L06","L06-C-04","L6-C-4 - Svært kalkrik flarkgjøl-bunn på fast torv ","L6-C-4","NA L6-C-4"
135,"L","L06","L06-C-05","L6-C-5 - Høljegjøl-bunn på fast torv ","L6-C-5","NA L6-C-5"
136,"L","L07","L07-C-01","L7-C-1 - Svært kalkfattig innsjøbunn av dy og gytje","L7-C-1","NA L7-C-1"
137,"L","L07","L07-C-02","L7-C-2 - Noe kalkfattig innsjøbunn av dy og gytje","L7-C-2","NA L7-C-2"
138,"L","L07","L07-C-03","L7-C-3 - Moderat kalkrik innsjøbunn av dy og gytje","L7-C-3","NA L7-C-3"
139,"L","L07","L07-C-04","L7-C-4 - Svært kalkrik innsjøbunn av dy og gytje","L7-C-4","NA L7-C-4"
140,"L","L08","L08-C-01","L8-C-1 - Kalkfattig innsjøbunn av grovt organisk materiale","L8-C-1","NA L8-C-1"
141,"L","L08","L08-C-02","L8-C-2 - Kalkrik innsjøbunn av grovt organisk materiale","L8-C-2","NA L8-C-2"
142,"L","L09","L09-C-01","L9-C-1 - Innsjøbunn med periodisk oksygenmangel","L9-C-1","NA L9-C-1"
143,"L","L09","L09-C-02","L9-C-2 - Anoksisk innsjøbunn med gammelt havvann","L9-C-2","NA L9-C-2"
144,"L","L09","L09-C-03","L9-C-3 - Anoksisk innsjøbunn betinget av saltholdig kildevann","L9-C-3","NA L9-C-3"
145,"L","L09","L09-C-04","L9-C-4 - Anoksisk innsjøbunn betinget av jernholdig vann","L9-C-4","NA L9-C-4"
146,"L","L09","L09-C-05","L9-C-5 - Anoksisk innsjøbunn betinget av kalkrikt vann","L9-C-5","NA L9-C-5"
147,"L","L09","L09-C-06","L9-C-6 - Anoksisk innsjøbunn betinget av humusrikt vann","L9-C-6","NA L9-C-6"
148,"L","L10","L10-C-01","L10-C-1 - Arktisk permafrost-innsjøbunn","L10-C-1","NA L10-C-1"
149,"L","L11","L11-C-01","L11-C-1 - Ny innsjøbunn","L11-C-1","NA L11-C-1"
150,"L","L12","L12-C-01","L12-C-1 - Semi-naturlig eutrof innsjøbunn","L12-C-1","NA L12-C-1"
151,"L","L13","L13-C-01","L13-C-1 - Kalkfattig semi-naturlig vannstrand-eng","L13-C-1","NA L13-C-1"
152,"L","L13","L13-C-02","L13-C-2 - Kalkrik semi-naturlig vannstrand-eng","L13-C-2","NA L13-C-2"
153,"L","L14","L14-C-01","L14-C-1 - Sterkt endret ny fast innsjøbunn","L14-C-1","NA L14-C-1"
154,"L","L14","L14-C-02","L14-C-2 - Kalkfattig (ny) syntetisk innsjøbunn","L14-C-2","NA L14-C-2"
155,"L","L14","L14-C-03","L14-C-3 - Kalkrik (ny) syntetisk innsjøbunn","L14-C-3","NA L14-C-3"
156,"L","L14","L14-C-04","L14-C-4 - Kalkfattig ny innsjø-sedimentbunn","L14-C-4","NA L14-C-4"
157,"L","L14","L14-C-05","L14-C-5 - Kalkrik ny innsjø-sedimentbunn ","L14-C-5","NA L14-C-5"
158,"L","L15","L15-C-01","L15-C-1 - Kalkfattig ny innsjøbunn med opphav i elvebunn","L15-C-1","NA L15-C-1"
159,"L","L15","L15-C-02","L15-C-2 - Kalkrik ny innsjøbunn med opphav i elvebunn","L15-C-2","NA L15-C-2"
160,"L","L16","L16-C-01","L16-C-1 - Kalkfattig kronisk fysisk forstyrret innsjøbunn","L16-C-1","NA L16-C-1"
161,"L","L16","L16-C-02","L16-C-2 - Kalkrik kronisk fysisk forstyrret innsjøbunn","L16-C-2","NA L16-C-2"
162,"L","L16","L16-C-03","L16-C-3 - Reguleringssone i innsjø","L16-C-3","NA L16-C-3"
163,"L","L17","L17-C-01","L17-C-1 - Kronisk kjemisk påvirket innsjøbunn ","L17-C-1","NA L17-C-1"
164,"L","L17","L17-C-02","L17-C-2 - Kronisk saltpåvirket innsjø-sedimentbunn ","L17-C-2","NA L17-C-2"
165,"L","L17","L17-C-03","L17-C-3 - Kronisk eutrofiert innsjøbunn ","L17-C-3","NA L17-C-3"
166,"L","L17","L17-C-04","L17-C-4 - Kronisk forsuret innsjøbunn ","L17-C-4","NA L17-C-4"
167,"M","M08","M08-C-01","M8-C-1 - Helofytt-saltvannssump","M8-C-1","NA M8-C-1"
168,"M","M09","M09-C-01","M9-C-1 - Litoralbasseng","M9-C-1","NA M9-C-1"
169,"O","O01","O01-C-01","O1-C-1 - Svært kalkfattig fastbunn i klar og roligflytende elv ","O1-C-1","NA O1-C-1"
170,"O","O01","O01-C-02","O1-C-2 - Svært kalkfattig fastbunn i klar elv med stryk","O1-C-2","NA O1-C-2"
171,"O","O01","O01-C-03","O1-C-3 - Noe kalkfattig fastbunn i klar og roligflytende elv","O1-C-3","NA O1-C-3"
172,"O","O01","O01-C-04","O1-C-4 - Noe kalkfattig fastbunn i klar elv med stryk","O1-C-4","NA O1-C-4"
173,"O","O01","O01-C-05","O1-C-5 - Moderat kalkrik fastbunn i klar og roligflytende elv","O1-C-5","NA O1-C-5"
174,"O","O01","O01-C-06","O1-C-6 - Moderat kalkrik fastbunn i klar elv med stryk","O1-C-6","NA O1-C-6"
175,"O","O01","O01-C-07","O1-C-7 - Svært kalkrik fastbunn i klar og roligflytende elv","O1-C-7","NA O1-C-7"
176,"O","O01","O01-C-08","O1-C-8 - Svært kalkrik fastbunn i klar elv med stryk","O1-C-8","NA O1-C-8"
177,"O","O01","O01-C-09","O1-C-9 - Kalkfattig fastbunn i humøs og roligflytende elv","O1-C-9","NA O1-C-9"
178,"O","O01","O01-C-10","O1-C-10 - Kalkfattig fastbunn i humøs elv med stryk","O1-C-10","NA O1-C-10"
179,"O","O01","O01-C-11","O1-C-11 - Kalkrik fastbunn i humøs og roligflytende elv","O1-C-11","NA O1-C-11"
180,"O","O01","O01-C-12","O1-C-12 - Kalkrik fastbunn i humøs elv med stryk","O1-C-12","NA O1-C-12"
181,"O","O01","O01-C-13","O1-C-13 - Turbid fast elvebunn","O1-C-13","NA O1-C-13"
182,"O","O01","O01-C-14","O1-C-14 - Fast elvebunn i grotte","O1-C-14","NA O1-C-14"
183,"C","C00","C00-11-11","C-11 - Kalkfattig steinbunn i humøs elv","C-11","NA O2 C-11"
184,"O","O02","O02-C-01","O2-C-1 - Kalkfattig finbunn i klar elv","O2-C-1","NA O2-C-1"
185,"O","O02","O02-C-02","O2-C-2 - Kalkfattig grusbunn i klar elv","O2-C-2","NA O2-C-2"
186,"O","O02","O02-C-03","O2-C-3 - Svært kalkfattig steinbunn i klar elv","O2-C-3","NA O2-C-3"
187,"O","O02","O02-C-04","O2-C-4 - Noe kalkfattig steinbunn i klar elv","O2-C-4","NA O2-C-4"
188,"O","O02","O02-C-05","O2-C-5 - Kalkrik finbunn i klar elv","O2-C-5","NA O2-C-5"
189,"O","O02","O02-C-06","O2-C-6 - Kalkrik grusbunn i klar elv","O2-C-6","NA O2-C-6"
190,"O","O02","O02-C-07","O2-C-7 - Moderat kalkrik steinbunn i klar elv","O2-C-7","NA O2-C-7"
191,"O","O02","O02-C-08","O2-C-8 - Svært kalkrik steinbunn i klar elv","O2-C-8","NA O2-C-8"
192,"O","O02","O02-C-09","O2-C-9 - Finbunn i humøs elv","O2-C-9","NA O2-C-9"
193,"O","O02","O02-C-10","O2-C-10 - Grusbunn i humøs elv","O2-C-10","NA O2-C-10"
194,"O","O02","O02-C-12","O2-C-12 - Kalkrik steinbunn i humøs elv","O2-C-12","NA O2-C-12"
195,"O","O02","O02-C-13","O2-C-13 - Utstrømspåvirket kalkfattig elvebunn","O2-C-13","NA O2-C-13"
196,"O","O02","O02-C-14","O2-C-14 - Utstrømspåvirket kalkrik elvebunn","O2-C-14","NA O2-C-14"
197,"O","O02","O02-C-15","O2-C-15 - Turbid elvesedimentbunn","O2-C-15","NA O2-C-15"
198,"O","O03","O03-C-01","O3-C-1 - Kalkfattig bunn i svak kilde","O3-C-1","NA O3-C-1"
199,"O","O03","O03-C-02","O3-C-2 - Kalkfattig bunn i sterk kilde","O3-C-2","NA O3-C-2"
200,"O","O03","O03-C-03","O3-C-3 - Kalkrik bunn i svak kilde","O3-C-3","NA O3-C-3"
201,"O","O03","O03-C-04","O3-C-4 - Kalkrik bunn i sterk kilde","O3-C-4","NA O3-C-4"
202,"O","O04","O04-C-01","O4-C-1 - Bunn i litt varm kilde","O4-C-1","NA O4-C-1"
203,"O","O04","O04-C-02","O4-C-2 - Bunn i varm kilde","O4-C-2","NA O4-C-2"
204,"O","O04","O04-C-03","O4-C-3 - Svovelpåvirket bunn i litt varm kilde","O4-C-3","NA O4-C-3"
205,"O","O05","O05-C-01","O5-C-1 - Ny sedimentbunn i elv","O5-C-1","NA O5-C-1"
206,"O","O06","O06-C-01","O6-C-1 - Kalkfattig kronisk fysisk forstyrret elvebunn","O6-C-1","NA O6-C-1"
207,"O","O06","O06-C-02","O6-C-2 - Kalkrik kronisk fysisk forstyrret elvebunn","O6-C-2","NA O6-C-2"
208,"O","O06","O06-C-03","O6-C-3 - Turbid minstevannførings-strekning i elv ","O6-C-3","NA O6-C-3"
209,"O","O07","O07-C-01","O7-C-1 - Kronisk kjemisk påvirket elvebunn","O7-C-1","NA O7-C-1"
210,"O","O07","O07-C-02","O7-C-2 - Kronisk forsuret elvebunn","O7-C-2","NA O7-C-2"
211,"T","T01","T01-C-01","T1-C-1 - lite tørkeutsatte svært og temmelig kalkfattige nakne berg","T1-C-1","NA T1-C-1"
