,id,adb_id,name
117,L6-E-1,NA L6-E-1,Kalkfattig flarkgjøl-bunn på fast torv
118,L6-E-2,NA L6-E-2,Kalkrik flarkgjøl-bunn på fast torv
119,L6-E-3,NA L6-E-3,Høljegjøl-bunn på fast torv 
120,L7-E-1,NA L7-E-1,Svært kalkfattig innsjøbunn av dy og gytje
121,L7-E-2,NA L7-E-2,Noe kalkfattig innsjøbunn av dy og gytje
122,L7-E-3,NA L7-E-3,Moderat kalkrik innsjøbunn av dy og gytje
123,L7-E-4,NA L7-E-4,Svært kalkrik innsjøbunn av dy og gytje
124,L8-E-1,NA L8-E-1,Kalkfattig innsjøbunn av grovt organisk materiale
125,L8-E-2,NA L8-E-2,Kalkrik innsjøbunn av grovt organisk materiale
126,L9-E-1,NA L9-E-1,Innsjøbunn med periodisk oksygenmangel
127,L9-E-2,NA L9-E-2,Anoksisk innsjøbunn med gammelt havvann
128,L9-E-3,NA L9-E-3,Anoksisk innsjøbunn betinget av saltholdig kildevann
129,L9-E-4,NA L9-E-4,Anoksisk innsjøbunn betinget av jernholdig vann
130,L9-E-5,NA L9-E-5,Anoksisk innsjøbunn betinget av kalkrikt vann
131,L9-E-6,NA L9-E-6,Anoksisk innsjøbunn betinget av humusrikt vann
132,L10-E-1,NA L10-E-1,Arktisk permafrost-innsjøbunn
133,L11-E-1,NA L11-E-1,Ny innsjøbunn
134,L11-E-2,NA L11-E-2,Ny innsjøbunn
135,L12-E-1,NA L12-E-1,Semi-naturlig eutrof innsjøbunn
136,L13-E-1,NA L13-E-1,Kalkfattig semi-naturlig vannstrand-eng
137,L13-E-2,NA L13-E-2,Kalkrik semi-naturlig vannstrand-eng
138,L14-E-1,NA L14-E-1,Sterkt endret ny fast og syntetisk innsjøbunn
139,L14-E-2,NA L14-E-2,Kalkfattig ny innsjø-sedimentbunn
140,L14-E-3,NA L14-E-3,Kalkrik ny innsjø-sedimentbunn 
141,L15-E-1,NA L15-E-1,Kalkfattig ny innsjøbunn med opphav i elvebunn
142,L15-E-2,NA L15-E-2,Kalkrik ny innsjøbunn med opphav i elvebunn
143,L16-E-1,NA L16-E-1,Kalkfattig kronisk fysisk forstyrret innsjøbunn
144,L16-E-2,NA L16-E-2,Kalkrik kronisk fysisk forstyrret innsjøbunn
145,L16-E-3,NA L16-E-3,Reguleringssone i innsjø
146,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
147,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
148,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
149,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
150,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
151,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
152,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
153,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
154,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
155,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
156,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
157,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
158,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
159,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
160,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
161,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
162,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
163,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
164,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
165,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
166,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
167,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
168,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
