pid,_id,majorTypeLEC_id,order,detail_id,lec_id,majorType_id,selected
198,T3-UF.fg,T3-UF,2.0,,UF,T-3,0.0
199,T3-KI.0a,T3-KI,0.0,,KI,T-3,1.0
200,T3-KI.bc,T3-KI,1.0,,KI,T-3,0.0
201,T3-BK.0,T3-BK,0.0,,BK,T-3,1.0
202,T3-BK.a,T3-BK,1.0,,BK,T-3,0.0
203,T3-HI.0,T3-HI,0.0,,HI,T-3,1.0
204,T3-HI.a,T3-HI,1.0,,HI,T-3,0.0
205,T3-RU.0,T3-RU,0.0,,RU,T-3,1.0
206,T3-RU.a,T3-RU,1.0,,RU,T-3,0.0
207,T3-VM.0a,T3-VM,0.0,,VM,T-3,1.0
208,T3-VM.b,T3-VM,1.0,,VM,T-3,0.0
209,T38-UF.ab,T38-UF,0.0,,UF,T-38,1.0
210,T38-UF.cde,T38-UF,1.0,,UF,T-38,0.0
211,T38-KA.bcde,T38-KA,0.0,,KA,T-38,1.0
212,T38-KA.fgh,T38-KA,1.0,,KA,T-38,0.0
213,L3-KA.abcde,L3-KA,0.0,,KA,L-3,1.0
214,L3-KA.fghi,L3-KA,1.0,,KA,L-3,0.0
215,L3-IO.0a,L3-IO,0.0,,IO,L-3,1.0
216,L3-IO.b¤,L3-IO,1.0,,IO,L-3,0.0
217,L5-KT.a,L5-KT,0.0,,KT,L-5,1.0
218,L5-KT.b,L5-KT,1.0,,KT,L-5,0.0
219,L5-KT.c,L5-KT,2.0,,KT,L-5,0.0
220,L5-KA.cde,L5-KA,0.0,,KA,L-5,1.0
221,L5-KA.fghi,L5-KA,1.0,,KA,L-5,0.0
222,L5-S3E.0abcd,L5-S3E,0.0,,S3E,L-5,1.0
223,L5-S3F.0ab,L5-S3F,0.0,,S3F,L-5,1.0
224,L5-S3F.c¤,L5-S3F,1.0,,S3F,L-5,0.0
225,L5-S3S.0,L5-S3S,0.0,,S3S,L-5,1.0
226,L5-S3S.e,L5-S3S,1.0,,S3S,L-5,0.0
227,L5-VF.0abcde,L5-VF,0.0,,VF,L-5,1.0
228,L5-VF.fgh¤,L5-VF,1.0,,VF,L-5,0.0
229,T20-KA.cde,T20-KA,0.0,,KA,T-20,1.0
230,T20-KA.fgh,T20-KA,1.0,,KA,T-20,0.0
231,T27-SV.0,T27-SV,0.0,,SV,T-27,1.0
232,T27-SV.abcdef,T27-SV,1.0,,SV,T-27,0.0
233,T27-SV.g,T27-SV,2.0,,SV,T-27,0.0
234,T27-KA.abcde,T27-KA,0.0,,KA,T-27,1.0
235,T27-KA.fghi,T27-KA,1.0,,KA,T-27,0.0
236,T27-VI.0a,T27-VI,0.0,,VI,T-27,1.0
237,T27-VI.bc,T27-VI,1.0,,VI,T-27,0.0
238,T27-LA.0abcd,T27-LA,0.0,,LA,T-27,0.0
239,T27-LA.ef+,T27-LA,1.0,,LA,T-27,1.0
240,T27-BK.0,T27-BK,0.0,,BK,T-27,1.0
241,T27-BK.a,T27-BK,1.0,,BK,T-27,0.0
242,T27-BK.b,T27-BK,2.0,,BK,T-27,0.0
243,T27-S1.b,T27-S1,0.0,,S1,T-27,1.0
244,T27-S1.c,T27-S1,1.0,,S1,T-27,0.0
245,T27-UE.abc,T27-UE,0.0,,UE,T-27,1.0
246,T27-UE.defg,T27-UE,1.0,,UE,T-27,0.0
247,T8-NG.ab,T8-NG,0.0,,NG,T-8,1.0
248,T8-NG.cd,T8-NG,1.0,,NG,T-8,0.0
249,T8-NG.¤,T8-NG,2.0,,NG,T-8,0.0
250,T8-KI.0a,T8-KI,0.0,,KI,T-8,1.0
251,T8-KI.bc,T8-KI,1.0,,KI,T-8,0.0
252,T8-UF.abcd,T8-UF,0.0,,UF,T-8,1.0
253,T8-UF.efgh,T8-UF,1.0,,UF,T-8,0.0
254,T8-KA.cde,T8-KA,0.0,,KA,T-8,1.0
255,T8-KA.fghi,T8-KA,1.0,,KA,T-8,0.0
256,T8-HI.0,T8-HI,0.0,,HI,T-8,1.0
257,T8-HI.a,T8-HI,1.0,,HI,T-8,0.0
258,V6-SV.ab,V6-SV,0.0,,SV,V-6,1.0
259,V6-SV.cd,V6-SV,1.0,,SV,V-6,0.0
260,V6-SV.ef,V6-SV,2.0,,SV,V-6,0.0
261,V6-KA.cdef,V6-KA,0.0,,KA,V-6,1.0
262,V6-KA.ghi,V6-KA,1.0,,KA,V-6,0.0
263,V6-KI.bc,V6-KI,0.0,,KI,V-6,1.0
264,V6-KI.de,V6-KI,1.0,,KI,V-6,0.0
265,T31-KA.abc,T31-KA,0.0,,KA,T-31,1.0
266,T31-KA.de,T31-KA,1.0,,KA,T-31,0.0
267,T31-KA.fg,T31-KA,2.0,,KA,T-31,0.0
268,T31-KA.hi,T31-KA,3.0,,KA,T-31,0.0
269,T31-UF.bc,T31-UF,0.0,,UF,T-31,1.0
270,T31-UF.de,T31-UF,1.0,,UF,T-31,0.0
271,T31-UF.fgh,T31-UF,2.0,,UF,T-31,0.0
272,T31-KI.0a,T31-KI,0.0,,KI,T-31,1.0
273,T31-KI.bc,T31-KI,1.0,,KI,T-31,0.0
274,T31-BK.0,T31-BK,0.0,,BK,T-31,1.0
275,T31-BK.a,T31-BK,1.0,,BK,T-31,0.0
276,T31-HI.0,T31-HI,0.0,,HI,T-31,1.0
277,T31-HI.a,T31-HI,1.0,,HI,T-31,0.0
278,T31-VM.0a,T31-VM,0.0,,VM,T-31,1.0
279,T31-VM.b,T31-VM,1.0,,VM,T-31,0.0
280,T33-TV.fgh,T33-TV,0.0,,TV,T-33,1.0
281,T33-TV.ijk,T33-TV,1.0,,TV,T-33,0.0
282,T33-SA.abc,T33-SA,0.0,,SA,T-33,1.0
283,T33-SA.def,T33-SA,1.0,,SA,T-33,0.0
284,T33-SP.0,T33-SP,0.0,,SP,T-33,1.0
285,T33-SP.a,T33-SP,1.0,,SP,T-33,0.0
286,T33-VM.0a,T33-VM,0.0,,VM,T-33,1.0
287,T33-VM.b,T33-VM,1.0,,VM,T-33,0.0
288,T33-S1.de,T33-S1,0.0,,S1,T-33,1.0
289,T33-S1.hi,T33-S1,1.0,,S1,T-33,0.0
290,T33-HI.bc,T33-HI,0.0,,HI,T-33,1.0
291,T33-HI.de,T33-HI,1.0,,HI,T-33,0.0
292,F2-SM.bc,F2-SM,0.0,,SM,F-2,1.0
293,F2-SM.def,F2-SM,1.0,,SM,F-2,0.0
294,F2-SM.ghi,F2-SM,2.0,,SM,F-2,0.0
295,F2-SM.¤,F2-SM,3.0,,SM,F-2,0.0
296,F2-KA.ab,F2-KA,0.0,,KA,F-2,1.0
297,F2-KA.cde,F2-KA,1.0,,KA,F-2,0.0
298,F2-KA.fghi,F2-KA,2.0,,KA,F-2,0.0
299,F2-TU.0,F2-TU,0.0,,TU,F-2,1.0
300,F2-TU.a,F2-TU,1.0,,TU,F-2,0.0
301,F2-HU.0a,F2-HU,0.0,,HU,F-2,1.0
302,F2-HU.bcd,F2-HU,1.0,,HU,F-2,0.0
303,F2-KO.0,F2-KO,0.0,,KO,F-2,1.0
304,F2-KO.+,F2-KO,1.0,,KO,F-2,0.0
305,H1-DM.0,H1-DM,0.0,,DM,H-1,1.0
306,H1-DM.a,H1-DM,1.0,,DM,H-1,0.0
307,H1-DM.bcd,H1-DM,2.0,,DM,H-1,0.0
308,H1-DM.ef,H1-DM,3.0,,DM,H-1,0.0
309,H1-KY.0,H1-KY,0.0,,KY,H-1,1.0
310,H1-KY.a,H1-KY,1.0,,KY,H-1,0.0
311,H1-JV.0a,H1-JV,0.0,,JV,H-1,1.0
312,H1-JV.bcde¤,H1-JV,1.0,,JV,H-1,0.0
313,M9-SM.gh,M9-SM,0.0,,SM,M-9,1.0
314,M9-SM.i,M9-SM,1.0,,SM,M-9,0.0
315,M9-SM.¤,M9-SM,2.0,,SM,M-9,0.0
316,M9-TV.cdefgh,M9-TV,0.0,,TV,M-9,1.0
317,M9-TV.ij,M9-TV,1.0,,TV,M-9,0.0
318,M9-TV.k,M9-TV,2.0,,TV,M-9,0.0
319,M9-SE.0a,M9-SE,0.0,,SE,M-9,1.0
320,M9-SE.b,M9-SE,1.0,,SE,M-9,0.0
321,T7-KA.a,T7-KA,0.0,,KA,T-7,1.0
322,T7-KA.bc,T7-KA,1.0,,KA,T-7,0.0
323,T7-KA.de,T7-KA,2.0,,KA,T-7,0.0
324,T7-KA.fg,T7-KA,3.0,,KA,T-7,0.0
325,T7-KA.hi,T7-KA,4.0,,KA,T-7,0.0
326,T7-SV.ab,T7-SV,0.0,,SV,T-7,1.0
327,T7-SV.cd,T7-SV,1.0,,SV,T-7,0.0
328,T7-SV.ef,T7-SV,2.0,,SV,T-7,0.0
329,T7-SV.g,T7-SV,3.0,,SV,T-7,0.0
330,T7-KI.0a,T7-KI,0.0,,KI,T-7,1.0
331,T7-KI.bc,T7-KI,1.0,,KI,T-7,0.0
332,T7-VM.0a,T7-VM,0.0,,VM,T-7,1.0
333,T7-VM.b,T7-VM,1.0,,VM,T-7,0.0
334,T7-HI.0,T7-HI,0.0,,HI,T-7,1.0
335,T7-HI.a,T7-HI,1.0,,HI,T-7,0.0
336,T7-S1.bc,T7-S1,0.0,,S1,T-7,1.0
337,T7-S1.defg,T7-S1,1.0,,S1,T-7,0.0
338,T32-KA.bc,T32-KA,0.0,,KA,T-32,1.0
339,T32-KA.de,T32-KA,1.0,,KA,T-32,0.0
340,T32-KA.fg,T32-KA,2.0,,KA,T-32,0.0
341,T32-KA.hi,T32-KA,3.0,,KA,T-32,0.0
342,T32-HI.b,T32-HI,0.0,,HI,T-32,1.0
343,T32-HI.cd,T32-HI,1.0,,HI,T-32,0.0
344,T32-HI.e,T32-HI,2.0,,HI,T-32,0.0
345,T32-KI.0a,T32-KI,0.0,,KI,T-32,1.0
346,T32-KI.bc,T32-KI,1.0,,KI,T-32,0.0
347,T32-UF.ab,T32-UF,0.0,,UF,T-32,1.0
348,T32-UF.cde,T32-UF,1.0,,UF,T-32,0.0
349,T32-SS.fghi,T32-SS,0.0,,SS,T-32,0.0
350,T32-SS.jk+,T32-SS,1.0,,SS,T-32,1.0
351,T32-SP.0,T32-SP,0.0,,SP,T-32,1.0
352,T32-SP.a,T32-SP,1.0,,SP,T-32,0.0
353,T32-VM.0a,T32-VM,0.0,,VM,T-32,1.0
354,T32-VM.b,T32-VM,1.0,,VM,T-32,0.0
355,T44-KA.cde,T44-KA,0.0,,KA,T-44,1.0
356,T44-KA.fgh,T44-KA,1.0,,KA,T-44,0.0
357,T44-S1.0,T44-S1,0.0,,S1,T-44,1.0
358,T44-S1.efg,T44-S1,1.0,,S1,T-44,0.0
359,T44-S1.hi,T44-S1,2.0,,S1,T-44,0.0
360,T44-VM.0a,T44-VM,0.0,,VM,T-44,1.0
361,T44-VM.b,T44-VM,1.0,,VM,T-44,0.0
362,V4-KA.cd,V4-KA,0.0,,KA,V-4,1.0
363,V4-KA.ef,V4-KA,1.0,,KA,V-4,0.0
364,V4-KA.ghi,V4-KA,2.0,,KA,V-4,0.0
365,V4-KI.de,V4-KI,0.0,,KI,V-4,1.0
366,V4-KI.¤,V4-KI,1.0,,KI,V-4,0.0
367,V4-KT.a,V4-KT,0.0,,KT,V-4,1.0
368,V4-KT.b,V4-KT,1.0,,KT,V-4,0.0
369,V4-HI.0,V4-HI,0.0,,HI,V-4,1.0
370,V4-HI.a,V4-HI,1.0,,HI,V-4,0.0
371,V13-HS-V13.A,HS-V13,0.0,,HS-V13,V-13,1.0
372,V13-HS-V13.B,HS-V13,1.0,,HS-V13,V-13,0.0
373,V13-HS-V13.C,HS-V13,2.0,,HS-V13,V-13,0.0
374,V13-HS-V13.D,HS-V13,3.0,,HS-V13,V-13,0.0
375,V13-IO.0a,V13-IO,0.0,,IO,V-13,1.0
376,V13-IO.b¤,V13-IO,1.0,,IO,V-13,0.0
377,V13-KA.abcd,V13-KA,0.0,,KA,V-13,1.0
378,V13-KA.efgh,V13-KA,1.0,,KA,V-13,0.0
379,V1-KA.ab,V1-KA,0.0,,KA,V-1,1.0
380,V1-KA.cd,V1-KA,1.0,,KA,V-1,0.0
381,V1-KA.ef,V1-KA,2.0,,KA,V-1,0.0
382,V1-KA.gh,V1-KA,3.0,,KA,V-1,0.0
383,V1-KA.i,V1-KA,4.0,,KA,V-1,0.0
384,V1-TV.cd,V1-TV,0.0,,TV,V-1,1.0
385,V1-TV.ef,V1-TV,1.0,,TV,V-1,0.0
386,V1-TV.gh,V1-TV,2.0,,TV,V-1,0.0
387,V1-TV.ij,V1-TV,3.0,,TV,V-1,0.0
388,V1-TV.k,V1-TV,4.0,,TV,V-1,0.0
389,V1-MF.cd,V1-MF,0.0,,MF,V-1,1.0
390,V1-MF.ef,V1-MF,1.0,,MF,V-1,0.0
391,V1-KI.0,V1-KI,0.0,,KI,V-1,1.0
392,V1-KI.bc,V1-KI,1.0,,KI,V-1,0.0
393,V1-SA.0a,V1-SA,0.0,,SA,V-1,1.0
394,V1-SA.bcd,V1-SA,1.0,,SA,V-1,0.0
395,V1-VT.0,V1-VT,0.0,,VT,V-1,1.0
396,V1-VT.b,V1-VT,1.0,,VT,V-1,0.0
397,V1-TE.0,V1-TE,0.0,,TE,V-1,1.0
398,V1-TE.¤,V1-TE,1.0,,TE,V-1,0.0
399,T35-S1.0,T35-S1,0.0,,S1,T-35,1.0
400,T35-S1.cde,T35-S1,1.0,,S1,T-35,0.0
401,T35-S1.fg,T35-S1,2.0,,S1,T-35,0.0
402,T35-S1.hi,T35-S1,3.0,,S1,T-35,0.0
403,T35-KA.bcde,T35-KA,0.0,,KA,T-35,1.0
404,T35-KA.fgh,T35-KA,1.0,,KA,T-35,0.0
405,T10-VI.0,T10-VI,0.0,,VI,T-10,1.0
406,T10-VI.abc,T10-VI,1.0,,VI,T-10,0.0
407,T22-KA.bcde,T22-KA,0.0,,KA,T-22,1.0
408,T22-KA.fgh,T22-KA,1.0,,KA,T-22,0.0
409,T22-SV.0,T22-SV,0.0,,SV,T-22,1.0
410,T22-SV.ab,T22-SV,1.0,,SV,T-22,0.0
411,T22-VM.0a,T22-VM,0.0,,VM,T-22,1.0
412,T22-VM.b,T22-VM,1.0,,VM,T-22,0.0
