,pid,_id,lec_id,value,order
74,75,JV.0,JV,0,0
75,76,JV.a,JV,a,1
76,77,JV.b,JV,b,2
77,78,JV.c,JV,c,3
78,79,JV.¤,JV,¤,6
79,80,JV.d,JV,d,4
80,81,JV.e,JV,e,5
81,82,KA.a,KA,a,0
82,83,KA.b,KA,b,1
83,84,KA.c,KA,c,2
84,85,KA.d,KA,d,3
85,86,KA.e,KA,e,4
86,87,KA.f,KA,f,5
87,88,KA.g,KA,g,6
88,89,KA.h,KA,h,7
89,90,KA.i,KA,i,8
90,91,KI.0,KI,0,0
91,92,KI.a,KI,a,1
92,93,KI.d,KI,d,5
93,94,KI.e,KI,e,6
94,95,KI.¤,KI,¤,7
95,96,KI.b,KI,b,3
96,97,KI.c,KI,c,4
97,98,KO.0,KO,0,0
98,99,KO.+,KO,+,1
99,100,KT.a,KT,a,0
100,101,KT.b,KT,b,1
101,102,KT.c,KT,c,2
102,103,KT.d,KT,d,3
103,104,KT.e,KT,e,4
104,105,KT.f,KT,f,5
105,106,KY.0,KY,0,0
106,107,KY.a,KY,a,1
107,108,LA.0,LA,0,0
108,109,LA.+,LA,+,7
109,110,LA.a,LA,a,1
110,111,LA.b,LA,b,2
111,112,LA.c,LA,c,3
112,113,LA.d,LA,d,4
113,114,LA.e,LA,e,5
114,115,LA.f,LA,f,6
115,116,LK.0,LK,0,0
116,117,LK.+,LK,+,1
117,118,MB.0,MB,0,0
118,119,MB.+,MB,+,1
119,120,MF.0,MF,0,0
120,121,MF.a,MF,a,1
121,122,MF.b,MF,b,2
122,123,MF.c,MF,c,3
123,124,MF.d,MF,d,4
124,125,MF.e,MF,e,5
125,126,MF.f,MF,f,6
126,127,MX.0,MX,0,0
127,128,MX.a,MX,a,1
128,129,NG.0,NG,0,0
129,130,NG.a,NG,a,1
130,131,NG.b,NG,b,2
131,132,NG.c,NG,c,3
132,133,NG.d,NG,d,4
133,134,NG.¤,NG,¤,5
134,135,OF.0,OF,0,0
135,136,OF.a,OF,a,1
136,137,OF.b,OF,b,2
137,138,OM.0,OM,0,0
138,139,OM.a,OM,a,1
139,140,OM.b,OM,b,2
140,141,OM.¤,OM,¤,3
141,142,OR.0,OR,0,0
142,143,OR.c,OR,c,3
143,144,OR.a,OR,a,1
144,145,OR.b,OR,b,2
145,146,PF.0,PF,0,0
146,147,PF.a,PF,a,1
147,148,RU.0,RU,0,0
148,149,RU.a,RU,a,1
149,150,RU.b,RU,b,2
150,151,RU.c,RU,c,3
151,152,RU.¤,RU,¤,6
152,153,RU.d,RU,d,4
153,154,RU.e,RU,e,5
154,155,SA.0,SA,0,0
155,156,SA.a,SA,a,1
156,157,SA.f,SA,f,6
157,158,SA.+,SA,+,7
158,159,SA.b,SA,b,2
159,160,SA.c,SA,c,3
160,161,SA.d,SA,d,4
161,162,SA.e,SA,e,5
162,163,SE.0,SE,0,0
163,164,SE.a,SE,a,1
164,165,SE.b,SE,b,2
165,166,SE.¤,SE,¤,3
166,167,SF.0,SF,0,0
167,168,SF.a,SF,a,1
168,169,SF.b,SF,b,2
169,170,SF.¤,SF,¤,3
170,171,SH.0,SH,0,0
171,172,SH.a,SH,a,1
172,173,SH.b,SH,b,2
173,174,SH.c,SH,c,3
174,175,SH.d,SH,d,4
175,176,SH.e,SH,e,5
176,177,SM.0,SM,0,0
177,178,SM.a,SM,a,1
178,179,SM.b,SM,b,1
179,180,SM.c,SM,c,3
180,181,SM.d,SM,d,4
181,182,SM.g,SM,g,7
182,183,SM.h,SM,h,8
183,184,SM.i,SM,i,9
184,185,SM.¤,SM,¤,10
185,186,SM.e,SM,e,5
186,187,SM.f,SM,f,6
187,188,SP.0,SP,0,0
188,189,SP.a,SP,a,1
189,190,SS.0,SS,0,0
190,191,SS.a,SS,a,1
191,192,SS.b,SS,b,2
192,193,SS.c,SS,c,3
193,194,SS.d,SS,d,4
194,195,SS.i,SS,i,9
195,196,SS.j,SS,j,10
196,197,SS.k,SS,k,11
197,198,SS.+,SS,+,12
198,199,SS.e,SS,e,5
199,200,SS.f,SS,f,6
200,201,SS.g,SS,g,7
201,202,SS.h,SS,h,8
202,203,UF.a,UF,a,0
203,204,UF.b,UF,b,1
204,205,UF.c,UF,c,2
205,206,UF.d,UF,d,3
206,207,UF.e,UF,e,4
207,208,UF.f,UF,f,5
208,209,UF.g,UF,g,6
209,210,UF.h,UF,h,7
210,211,SU.0,SU,0,0
211,212,SU.a,SU,a,1
212,213,SU.b,SU,b,2
213,214,SU.c,SU,c,3
214,215,SU.¤,SU,¤,4
215,216,SV.0,SV,0,0
216,217,SV.a,SV,a,1
217,218,SV.b,SV,b,2
218,219,SV.c,SV,c,3
219,220,SV.d,SV,d,4
220,221,SV.e,SV,e,5
221,222,SV.f,SV,f,6
222,223,SV.g,SV,g,7
223,224,SV.¤,SV,¤,8
224,225,SX.0,SX,0,0
225,226,SX.a,SX,a,1
226,227,SX.b,SX,b,2
227,228,SX.c,SX,c,3
228,229,SX.d,SX,d,4
229,230,SX.e,SX,e,5
230,231,SX.f,SX,f,6
231,232,SX.g,SX,g,7
232,233,SX.h,SX,h,8
233,234,SX.i,SX,i,9
234,235,SX.j,SX,j,10
235,236,SX.k,SX,k,11
236,237,SX.l,SX,l,12
237,238,SX.m,SX,m,13
238,239,SX.n,SX,n,14
239,240,SX.o,SX,o,15
240,241,SY.0,SY,0,0
241,242,SY.a,SY,a,1
242,243,SY.b,SY,b,2
243,244,SY.c,SY,c,3
244,245,SY.d,SY,d,4
245,246,S3E.0,S3E,0,0
246,247,S3E.a,S3E,a,1
247,248,S3E.b,S3E,b,2
248,249,S3E.c,S3E,c,3
249,250,S3E.d,S3E,d,4
250,251,S3E.e,S3E,e,5
251,252,S3E.f,S3E,f,6
252,253,S3E.+,S3E,+,7
253,254,S3F.0,S3F,0,0
254,255,S3F.a,S3F,a,1
255,256,S3F.b,S3F,b,2
256,257,S3F.c,S3F,c,3
257,258,S3F.¤,S3F,¤,4
258,259,S3S.0,S3S,0,0
259,260,S3S.a,S3S,a,1
260,261,S3S.b,S3S,b,2
261,262,S3S.c,S3S,c,3
262,263,S3S.d,S3S,d,4
263,264,S3S.e,S3S,e,5
264,265,S1.0,S1,0,0
265,266,S1.a,S1,a,1
266,267,S1.b,S1,b,2
267,268,S1.c,S1,c,3
268,269,S1.d,S1,d,4
269,270,S1.e,S1,e,5
270,271,S1.f,S1,f,6
271,272,S1.g,S1,g,7
272,273,S1.h,S1,h,8
273,274,S1.i,S1,i,9
274,275,S1.j,S1,j,10
275,276,TE.0,TE,0,0
276,277,TE.¤,TE,¤,1
277,278,TU.0,TU,0,0
278,279,TU.a,TU,a,1
279,280,TV.0,TV,0,0
280,281,TV.a,TV,a,1
281,282,TV.b,TV,b,2
282,283,TV.c,TV,c,3
283,284,TV.d,TV,d,4
284,285,TV.e,TV,e,5
285,286,TV.f,TV,f,6
286,287,TV.g,TV,g,7
287,288,TV.h,TV,h,8
288,289,TV.i,TV,i,9
289,290,TV.j,TV,j,10
290,291,TV.k,TV,k,11
291,292,TV.l,TV,l,12
292,293,TV.+,TV,+,13
293,294,UE.0,UE,0,0
294,295,UE.a,UE,a,1
295,296,UE.b,UE,b,2
296,297,UE.c,UE,c,3
297,298,UE.d,UE,d,4
298,299,UE.e,UE,e,5
299,300,UE.f,UE,f,6
300,301,UE.g,UE,g,7
301,302,VF.0,VF,0,0
302,303,VF.a,VF,a,1
303,304,VF.b,VF,b,2
304,305,VF.c,VF,c,3
305,306,VF.d,VF,d,4
306,307,VF.e,VF,e,5
307,308,VF.f,VF,f,6
308,309,VF.g,VF,g,7
309,310,VF.h,VF,h,8
310,311,VF.¤,VF,¤,9
311,312,VI.0,VI,0,0
312,313,VI.a,VI,a,1
313,314,VI.b,VI,b,2
314,315,VI.c,VI,c,3
315,316,VI.¤,VI,¤,4
316,317,VM.0,VM,0,0
317,318,VM.a,VM,a,1
318,319,VM.b,VM,b,2
319,320,VM.+,VM,+,3
320,321,VR.a,VR,a,0
321,322,VR.b,VR,b,1
322,323,VS.0,VS,0,0
323,324,VS.a,VS,a,1
324,325,VS.b,VS,b,2
325,326,VS.c,VS,c,3
326,327,VS.d,VS,d,4
327,328,VS.+,VS,+,5
328,329,VT.0,VT,0,0
329,330,VT.a,VT,a,1
330,331,VT.b,VT,b,2
331,332,VT.c,VT,c,3
332,333,HS-V13.A,HS-V13,A,0
333,334,HS-V13.B,HS-V13,B,1
334,335,HS-V13.C,HS-V13,C,2
335,336,HS-V13.D,HS-V13,D,3
336,337,HS-M15.A,HS-M15,A,0
337,338,HS-M15.B,HS-M15,B,1
338,339,HS-T39.A,HS-T39,A,0
339,340,HS-T39.B,HS-T39,B,1
340,341,HS-T39.C,HS-T39,C,2
341,342,HS-T39.D,HS-T39,D,3
342,343,HS-L7.A,HS-L7,A,0
343,344,HS-L7.B,HS-L7,B,1
344,345,HS-L7.C,HS-L7,C,2
345,346,HS-L8.A,HS-L8,A,0
346,347,HS-L8.B,HS-L8,B,1
347,348,HS-L8.C,HS-L8,C,2
348,349,HS-L8.D,HS-L8,D,3
349,350,HS-L8.E,HS-L8,E,4
350,351,HS-L8.F,HS-L8,F,5
351,352,HS-L8.G,HS-L8,G,6
352,353,HS-L8.H,HS-L8,H,7
353,354,HS-T36.A,HS-T36,A,0
354,355,HS-T36.B,HS-T36,B,1
355,356,HS-T36.C,HS-T36,C,2
356,357,HS-T37.A,HS-T37,A,0
357,358,HS-T37.B,HS-T37,B,1
358,359,HS-T37.C,HS-T37,C,2
