,pid,standardSegment_id,elementarySegment_id
203,204,T26-SH.b,SH.b
204,205,T5-GS.abcd¤,GS.a
205,206,T5-GS.abcd¤,GS.b
206,207,T5-GS.abcd¤,GS.c
207,208,T5-GS.abcd¤,GS.d
208,209,T5-GS.abcd¤,GS.¤
209,210,T41-SX.j,SX.j
210,211,T41-MB.+,MB.+
211,212,T44-SX.l,SX.l
212,213,T44-MB.+,MB.+
213,214,T32-HI.bcde,HI.b
214,215,T32-HI.bcde,HI.c
215,216,T32-HI.bcde,HI.d
216,217,T32-HI.bcde,HI.e
217,218,L6-OM.b¤,OM.b
218,219,L6-OM.b¤,OM.¤
219,220,T42-SX.k,SX.k
220,221,T42-MB.0,MB.0
221,222,V10 -HI.bcde,HI.b
222,223,V10 -HI.bcde,HI.c
223,224,V10 -HI.bcde,HI.d
224,225,V10 -HI.bcde,HI.e
225,226,V10 -IO.0a,IO.0
226,227,V10 -IO.0a,IO.a
227,228,T29-SH.e,SH.e
228,229,T25-SH.a,SH.a
229,230,V6-SV.abcdefg¤,SV.a
230,231,V6-SV.abcdefg¤,SV.b
231,232,V6-SV.abcdefg¤,SV.c
232,233,V6-SV.abcdefg¤,SV.d
233,234,V6-SV.abcdefg¤,SV.e
234,235,V6-SV.abcdefg¤,SV.f
235,236,V6-SV.abcdefg¤,SV.g
236,237,V6-SV.abcdefg¤,SV.¤
237,238,V6-IO.0a,IO.0
238,239,V6-IO.0a,IO.a
239,240,T19-PF.a,PF.a
240,241,T19-OF.a,OF.a
241,242,T17-SU.bc,SU.b
242,243,T17-SU.bc,SU.c
243,244,T18-VF.fgh¤,VF.f
244,245,T18-VF.fgh¤,VF.g
245,246,T18-VF.fgh¤,VF.h
246,247,T18-VF.fgh¤,VF.¤
247,248,M15-SX.b,SX.b
248,249,L8-SX.d,SX.d
249,250,M9-SM.ghi¤,SM.g
250,251,M9-SM.ghi¤,SM.h
251,252,M9-SM.ghi¤,SM.i
252,253,M9-SM.ghi¤,SM.¤
253,254,M11-KI.e¤,KI.e
254,255,M11-KI.e¤,KI.¤
255,256,V8-VT.a,VT.a
256,257,V11-SX.m,SX.m
257,258,F5-SY.abcd,SY.a
258,259,F5-SY.abcd,SY.b
259,260,F5-SY.abcd,SY.c
260,261,F5-SY.abcd,SY.d
261,262,T15-VS.bcd,VS.b
262,263,T15-VS.bcd,VS.c
263,264,T15-VS.bcd,VS.d
264,265,H2-SM.abcdefghi¤,SM.a
265,266,H2-SM.abcdefghi¤,SM.b
266,267,H2-SM.abcdefghi¤,SM.c
267,268,H2-SM.abcdefghi¤,SM.d
268,269,H2-SM.abcdefghi¤,SM.e
269,270,H2-SM.abcdefghi¤,SM.f
270,271,H2-SM.abcdefghi¤,SM.g
271,272,H2-SM.abcdefghi¤,SM.h
272,273,H2-SM.abcdefghi¤,SM.i
273,274,H2-SM.abcdefghi¤,SM.¤
274,275,T7-SV.abcdefg¤,SV.a
275,276,T7-SV.abcdefg¤,SV.b
276,277,T7-SV.abcdefg¤,SV.c
277,278,T7-SV.abcdefg¤,SV.d
278,279,T7-SV.abcdefg¤,SV.e
279,280,T7-SV.abcdefg¤,SV.f
280,281,T7-SV.abcdefg¤,SV.g
281,282,T7-SV.abcdefg¤,SV.¤
282,283,T30-VF.bcde,VF.b
283,284,T30-VF.bcde,VF.c
284,285,T30-VF.bcde,VF.d
285,286,T30-VF.bcde,VF.e
286,287,T13-RU.bcde¤,RU.b
287,288,T13-RU.bcde¤,RU.c
288,289,T13-RU.bcde¤,RU.d
289,290,T13-RU.bcde¤,RU.e
290,291,T13-RU.bcde¤,RU.¤
291,292,M13-OM.b¤,OM.b
292,293,M13-OM.b¤,OM.¤
293,294,T22-JF.ab,JF.a
294,295,T22-JF.ab,JF.b
295,296,M1-VF.0ab,VF.0
296,297,M1-VF.0ab,VF.a
297,298,M1-VF.0ab,VF.b
298,299,M1-VF.cd,VF.c
299,300,M1-VF.cd,VF.d
300,301,M1-VF.ef,VF.e
301,302,M1-VF.ef,VF.f
302,303,M1-VF.gh,VF.g
303,304,M1-VF.gh,VF.h
304,305,M1-DL.a,DL.a
305,306,M1-DL.bc,DL.b
306,307,M1-DL.bc,DL.c
307,308,M1-DL.d,DL.d
308,309,M1-SA.a,SA.a
309,310,M1-SA.bc,SA.b
310,311,M1-SA.bc,SA.c
311,312,M1-SA.def,SA.d
312,313,M1-SA.def,SA.e
313,314,M1-SA.def,SA.f
314,315,M1-HF.0ab,HF.0
315,316,M1-HF.0ab,HF.a
316,317,M1-HF.0ab,HF.b
317,318,M1-HF.+,HF.+
318,319,M1-S1.a,S1.a
319,320,M1-S1.b,S1.b
320,321,M1-IF.0ab,IF.0
321,322,M1-IF.0ab,IF.a
322,323,M1-IF.0ab,IF.b
323,324,M1-IF.¤,IF.¤
324,325,M1-VR.a,VR.a
325,326,M1-VR.b,VR.b
326,327,M1-RU.0ab,RU.0
327,328,M1-RU.0ab,RU.a
328,329,M1-RU.0ab,RU.b
329,330,M1-RU.cde,RU.c
330,331,M1-RU.cde,RU.d
331,332,M1-RU.cde,RU.e
332,333,M13-OM.b,OM.b
333,334,M13-OM.¤,OM.¤
334,335,M13-DL.abcd,DL.a
335,336,M13-DL.abcd,DL.b
336,337,M13-DL.abcd,DL.c
337,338,M13-DL.abcd,DL.d
338,339,M13-DL.e+,DL.e
339,340,M13-DL.e+,DL.+
340,341,F1-VF.bcde,VF.b
341,342,F1-VF.bcde,VF.c
342,343,F1-VF.bcde,VF.d
343,344,F1-VF.bcde,VF.e
344,345,F1-VF.fgh¤,VF.f
345,346,F1-VF.fgh¤,VF.g
346,347,F1-VF.fgh¤,VF.h
347,348,F1-VF.fgh¤,VF.¤
348,349,F1-HU.0a,HU.0
349,350,F1-HU.0a,HU.a
350,351,F1-HU.bcd,HU.b
351,352,F1-HU.bcd,HU.c
352,353,F1-HU.bcd,HU.d
353,354,F1-KA.abcde,KA.a
354,355,F1-KA.abcde,KA.b
355,356,F1-KA.abcde,KA.c
356,357,F1-KA.abcde,KA.d
357,358,F1-KA.abcde,KA.e
358,359,F1-KA.fghi,KA.f
359,360,F1-KA.fghi,KA.g
360,361,F1-KA.fghi,KA.h
361,362,F1-KA.fghi,KA.i
362,363,F1-TU.0,TU.0
363,364,F1-TU.a,TU.a
364,365,L2-S3E.0abc,S3E.0
365,366,L2-S3E.0abc,S3E.a
366,367,L2-S3E.0abc,S3E.b
367,368,L2-S3E.0abc,S3E.c
368,369,L2-S3E.d,S3E.d
369,370,L2-S3E.e,S3E.e
370,371,L2-S3F.0ab,S3F.0
371,372,L2-S3F.0ab,S3F.a
372,373,L2-S3F.0ab,S3F.b
373,374,L2-S3F.c¤,S3F.c
374,375,L2-S3F.c¤,S3F.¤
375,376,L2-S3S.0,S3S.0
376,377,L2-S3S.e,S3S.e
377,378,L2-KA.ab,KA.a
378,379,L2-KA.ab,KA.b
379,380,L2-KA.cde,KA.c
380,381,L2-KA.cde,KA.d
381,382,L2-KA.cde,KA.e
382,383,L2-KA.fghi,KA.f
383,384,L2-KA.fghi,KA.g
384,385,L2-KA.fghi,KA.h
385,386,L2-KA.fghi,KA.i
386,387,L2-IO.0a,IO.0
387,388,L2-IO.0a,IO.a
388,389,L2-IO.b¤,IO.b
389,390,L2-IO.b¤,IO.¤
390,391,L2-VT.ab,VT.a
391,392,L2-VT.ab,VT.b
392,393,L2-VT.c,VT.c
393,394,L2-SE.0ab,SE.0
394,395,L2-SE.0ab,SE.a
395,396,L2-SE.0ab,SE.b
396,397,L2-SE.¤,SE.¤
397,398,L2-VF.0abcde,VF.0
398,399,L2-VF.0abcde,VF.a
399,400,L2-VF.0abcde,VF.b
400,401,L2-VF.0abcde,VF.c
401,402,L2-VF.0abcde,VF.d
402,403,L2-VF.0abcde,VF.e
403,404,L2-VF.fgh¤,VF.f
404,405,L2-VF.fgh¤,VF.g
405,406,L2-VF.fgh¤,VF.h
406,407,L2-VF.fgh¤,VF.¤
407,408,L2-HU.0,HU.0
408,409,L2-HU.abcd,HU.a
409,410,L2-HU.abcd,HU.b
410,411,L2-HU.abcd,HU.c
411,412,L2-HU.abcd,HU.d
412,413,L2-DL.ab,DL.a
413,414,L2-DL.ab,DL.b
414,415,L2-DL.c,DL.c
415,416,L2-IF.0,IF.0
416,417,L2-IF.ab,IF.a
417,418,L2-IF.ab,IF.b
418,419,T4-BK.0,BK.0
419,420,T4-BK.a,BK.a
420,421,T4-HI.0,HI.0
421,422,T4-HI.a,HI.a
422,423,T4-SU.0,SU.0
423,424,T4-SU.a,SU.a
424,425,T4-RU.0,RU.0
425,426,T4-RU.a,RU.a
426,427,T4-SS.h,SS.h
427,428,T4-SS.i,SS.i
428,429,T4-SS.+,SS.+
429,430,T4-S1.0,S1.0
430,431,T4-S1.bc,S1.b
431,432,T4-S1.bc,S1.c
432,433,T4-S1.de,S1.d
433,434,T4-S1.de,S1.e
434,435,T4-S1.fg,S1.f
435,436,T4-S1.fg,S1.g
436,437,T4-S1.hi,S1.h
437,438,T4-S1.hi,S1.i
438,439,T4-VM.0a,VM.0
439,440,T4-VM.0a,VM.a
440,441,T4-VM.b,VM.b
441,442,T4-VS.0,VS.0
442,443,T4-VS.a,VS.a
443,444,T4-SA.0,SA.0
444,445,T4-SA.ab,SA.a
445,446,T4-SA.ab,SA.b
446,447,T4-UE.0a,UE.0
447,448,T4-UE.0a,UE.a
448,449,T4-UE.bcdefg,UE.b
449,450,T4-UE.bcdefg,UE.c
450,451,T4-UE.bcdefg,UE.d
451,452,T4-UE.bcdefg,UE.e
452,453,T4-UE.bcdefg,UE.f
453,454,T4-UE.bcdefg,UE.g
454,455,V11-KA.abcd,KA.a
455,456,V11-KA.abcd,KA.b
456,457,V11-KA.abcd,KA.c
457,458,V11-KA.abcd,KA.d
458,459,V11-KA.efghi,KA.e
459,460,V11-KA.efghi,KA.f
460,461,V11-KA.efghi,KA.g
461,462,V11-KA.efghi,KA.h
462,463,V11-KA.efghi,KA.i
463,464,T9-KA.cde,KA.c
464,465,T9-KA.cde,KA.d
465,466,T9-KA.cde,KA.e
466,467,T9-KA.fghi,KA.f
467,468,T9-KA.fghi,KA.g
468,469,T9-KA.fghi,KA.h
469,470,T9-KA.fghi,KA.i
470,471,T9-VM.0a,VM.0
471,472,T9-VM.0a,VM.a
472,473,T9-VM.b,VM.b
473,474,V12-VT.0,VT.0
474,475,V12-VT.a,VT.a
475,476,V12-KA.abcd,KA.a
476,477,V12-KA.abcd,KA.b
477,478,V12-KA.abcd,KA.c
478,479,V12-KA.abcd,KA.d
479,480,V12-KA.efghi,KA.e
480,481,V12-KA.efghi,KA.f
481,482,V12-KA.efghi,KA.g
482,483,V12-KA.efghi,KA.h
483,484,V12-KA.efghi,KA.i
484,485,T3-KA.abc,KA.a
485,486,T3-KA.abc,KA.b
486,487,T3-KA.abc,KA.c
487,488,T3-KA.de,KA.d
488,489,T3-KA.de,KA.e
489,490,T3-KA.fg,KA.f
490,491,T3-KA.fg,KA.g
491,492,T3-KA.hi,KA.h
492,493,T3-KA.hi,KA.i
493,494,T3-UF.bc,UF.b
494,495,T3-UF.bc,UF.c
495,496,T3-UF.de,UF.d
496,497,T3-UF.de,UF.e
497,498,T3-UF.fg,UF.f
498,499,T3-UF.fg,UF.g
499,500,T3-KI.0a,KI.0
500,501,T3-KI.0a,KI.a
501,502,T3-KI.bc,KI.b
502,503,T3-KI.bc,KI.c
503,504,T3-BK.0,BK.0
504,505,T3-BK.a,BK.a
505,506,T3-HI.0,HI.0
506,507,T3-HI.a,HI.a
507,508,T3-RU.0,RU.0
508,509,T3-RU.a,RU.a
509,510,T3-VM.0a,VM.0
510,511,T3-VM.0a,VM.a
511,512,T3-VM.b,VM.b
512,513,T38-UF.ab,UF.a
513,514,T38-UF.ab,UF.b
514,515,T38-UF.cde,UF.c
515,516,T38-UF.cde,UF.d
516,517,T38-UF.cde,UF.e
517,518,T38-KA.bcde,KA.b
518,519,T38-KA.bcde,KA.c
519,520,T38-KA.bcde,KA.d
520,521,T38-KA.bcde,KA.e
521,522,T38-KA.fgh,KA.f
522,523,T38-KA.fgh,KA.g
523,524,T38-KA.fgh,KA.h
524,525,L3-KA.abcde,KA.a
525,526,L3-KA.abcde,KA.b
