,pid,majorTypeLEC_id,majorType_id,lec_id,species_id,value
610,611,T4-HI,T4,HI,103162,1
611,612,T4-RU,T4,RU,103162,1
612,613,T4-UE,T4,UE,103162,-1
613,614,T4-VM,T4,VM,103168,1
614,615,T4-HI,T4,HI,103168,2
615,616,T4-VM,T4,VM,103193,1
616,617,T4-HI,T4,HI,103193,1
617,618,T4-RU,T4,RU,103193,1
618,619,T4-HI,T4,HI,103225,1
619,620,T4-UE,T4,UE,103225,-1
620,621,T4-VM,T4,VM,103276,-1
621,622,T4-RU,T4,RU,103276,2
622,623,T4-UE,T4,UE,103276,-1
623,624,T4-VM,T4,VM,103282,-1
624,625,T4-RU,T4,RU,103282,1
625,626,T4-UE,T4,UE,103282,-1
626,627,T4-VM,T4,VM,103303,-1
627,628,T4-RU,T4,RU,103303,1
628,629,T4-UE,T4,UE,103303,-1
629,630,T4-VM,T4,VM,103310,3
630,631,T4-HI,T4,HI,103310,1
631,632,T4-VM,T4,VM,103311,-3
632,633,T4-UE,T4,UE,103311,-1
633,634,T4-HI,T4,HI,103316,1
634,635,T4-RU,T4,RU,103316,1
635,636,T4-VM,T4,VM,103323,1
636,637,T4-HI,T4,HI,103323,2
637,638,T4-RU,T4,RU,103323,1
638,639,T4-HI,T4,HI,103324,1
639,640,T4-RU,T4,RU,103324,1
640,641,T4-VM,T4,VM,103342,-1
641,642,T4-HI,T4,HI,103342,1
642,643,T4-RU,T4,RU,103342,1
643,644,T4-UE,T4,UE,103342,-1
644,645,T4-VM,T4,VM,103345,-1
