pid,_id,elementarySegment_id,majorType_id,lec_id,standardSegment_id
156,SM.a,SM.a,H-2,SM,H2-SM.a
157,SM.b,SM.b,H-2,SM,H2-SM.bc
158,SM.c,SM.c,H-2,SM,H2-SM.bc
159,SM.d,SM.d,H-2,SM,H2-SM.def
160,SM.g,SM.g,H-2,SM,H2-SM.gh
161,SM.h,SM.h,H-2,SM,H2-SM.gh
162,SM.i,SM.i,H-2,SM,H2-SM.i
163,SM.¤,SM.¤,H-2,SM,H2-SM.¤
164,SM.e,SM.e,H-2,SM,H2-SM.def
165,SM.f,SM.f,H-2,SM,H2-SM.def
166,OM.0,OM.0,H-3,OM,
167,OM.a,OM.a,H-3,OM,
168,OM.b,OM.b,H-3,OM,
169,OM.¤,OM.¤,H-3,OM,H3-OM.¤
170,SA.0,SA.0,H-4,SA,
171,SA.a,SA.a,H-4,SA,H4-SA.abc
172,SA.f,SA.f,H-4,SA,H4-SA.def
173,SA.+,SA.+,H-4,SA,
174,SA.b,SA.b,H-4,SA,H4-SA.abc
175,SA.c,SA.c,H-4,SA,H4-SA.abc
176,SA.d,SA.d,H-4,SA,H4-SA.def
177,SA.e,SA.e,H-4,SA,H4-SA.def
178,SM.0,SM.0,H-4,SM,
179,SM.a,SM.a,H-4,SM,H4-SM.abcdef
180,SM.b,SM.b,H-4,SM,H4-SM.abcdef
181,SM.c,SM.c,H-4,SM,H4-SM.abcdef
182,SM.d,SM.d,H-4,SM,H4-SM.abcdef
183,SM.g,SM.g,H-4,SM,H4-SM.ghi
184,SM.h,SM.h,H-4,SM,H4-SM.ghi
185,SM.i,SM.i,H-4,SM,H4-SM.ghi
186,SM.¤,SM.¤,H-4,SM,
187,SM.e,SM.e,H-4,SM,H4-SM.abcdef
188,SM.f,SM.f,H-4,SM,H4-SM.abcdef
189,SY.0,SY.0,H-4,SY,
190,SY.a,SY.a,H-4,SY,H4-SY.a
191,SY.b,SY.b,H-4,SY,H4-SY.b
192,SY.c,SY.c,H-4,SY,H4-SY.c
193,SY.d,SY.d,H-4,SY,H4-SY.d
194,DL.0,DL.0,L-1,DL,
195,DL.a,DL.a,L-1,DL,L1-DL.ab
196,DL.b,DL.b,L-1,DL,L1-DL.ab
197,DL.c,DL.c,L-1,DL,L1-DL.c
198,DL.d,DL.d,L-1,DL,
199,DL.e,DL.e,L-1,DL,
200,DL.+,DL.+,L-1,DL,
201,HU.0,HU.0,L-1,HU,L1-HU.0
202,HU.a,HU.a,L-1,HU,L1-HU.abcd
203,HU.b,HU.b,L-1,HU,L1-HU.abcd
204,HU.c,HU.c,L-1,HU,L1-HU.abcd
205,HU.d,HU.d,L-1,HU,L1-HU.abcd
206,IF.0,IF.0,L-1,IF,L1-IF.0
207,IF.a,IF.a,L-1,IF,L1-IF.ab
208,IF.b,IF.b,L-1,IF,L1-IF.ab
209,IF.¤,IF.¤,L-1,IF,
210,KA.ab,KA.a,L-1,KA,L1-KA.abc
211,KA.ab,KA.b,L-1,KA,L1-KA.abc
212,KA.c,KA.c,L-1,KA,L1-KA.abc
213,KA.d,KA.d,L-1,KA,L1-KA.def
