,pid,_id,lec_id,majorType_id,lecType_id,axis
120,121,L2-VT,VT,L-2,iLEC,1.0
121,122,L2-SE,SE,L-2,iLEC,2.0
122,123,L2-VF,VF,L-2,uLEC,
123,124,L2-HU,HU,L-2,uLEC,
124,125,L2-DL,DL,L-2,uLEC,
125,126,L2-IF,IF,L-2,uLEC,
126,127,T4-S1,S1,T-4,uLEC,
127,128,T4-SA,SA,T-4,uLEC,
128,129,V11-KA,KA,V-11,iLEC,0.0
129,130,T9-KA,KA,T-9,iLEC,0.0
130,131,T9-VM,VM,T-9,uLEC,
131,132,V12-VT,VT,V-12,iLEC,0.0
132,133,V12-KA,KA,V-12,iLEC,1.0
133,134,T3-KA,KA,T-3,mLEC,0.0
134,135,T3-UF,UF,T-3,mLEC,1.0
135,136,T3-KI,KI,T-3,iLEC,0.0
136,137,T3-BK,BK,T-3,uLEC,
137,138,T3-HI,HI,T-3,uLEC,
138,139,T3-RU,RU,T-3,uLEC,
139,140,T3-VM,VM,T-3,uLEC,
140,141,T38-UF,UF,T-38,uLEC,
141,142,T38-KA,KA,T-38,uLEC,
142,143,L3-KA,KA,L-3,iLEC,0.0
143,144,L3-IO,IO,L-3,uLEC,
144,145,L5-KT,KT,L-5,iLEC,0.0
145,146,L5-KA,KA,L-5,iLEC,1.0
146,147,L5-S3E,S3E,L-5,uLEC,
147,148,L5-S3F,S3F,L-5,uLEC,
148,149,L5-S3S,S3S,L-5,uLEC,
149,150,L5-VF,VF,L-5,uLEC,
150,151,T20-KA,KA,T-20,iLEC,0.0
151,152,T27-SV,SV,T-27,mLEC,0.0
152,153,T27-KA,KA,T-27,iLEC,0.0
153,154,T27-VI,VI,T-27,iLEC,1.0
154,155,T27-LA,LA,T-27,iLEC,2.0
155,156,T27-BK,BK,T-27,uLEC,
156,157,T27-S1,S1,T-27,uLEC,
157,158,T27-UE,UE,T-27,uLEC,
158,159,T8-KI,KI,T-8,iLEC,0.0
159,160,T8-UF,UF,T-8,iLEC,1.0
160,161,T8-KA,KA,T-8,uLEC,
161,162,T8-HI,HI,T-8,uLEC,
162,163,V6-KA,KA,V-6,iLEC,0.0
163,164,V6-KI,KI,V-6,iLEC,1.0
164,165,T31-KA,KA,T-31,mLEC,0.0
165,166,T31-UF,UF,T-31,mLEC,1.0
166,167,T31-KI,KI,T-31,iLEC,0.0
167,168,T31-BK,BK,T-31,uLEC,
168,169,T31-HI,HI,T-31,uLEC,
169,170,T31-VM,VM,T-31,uLEC,
170,171,T33-SP,SP,T-33,uLEC,
171,172,T33-VM,VM,T-33,uLEC,
172,173,T33-S1,S1,T-33,uLEC,
173,174,F2-SM,SM,F-2,mLEC,0.0
174,175,F2-KA,KA,F-2,mLEC,1.0
175,176,F2-TU,TU,F-2,iLEC,0.0
176,177,F2-HU,HU,F-2,iLEC,1.0
177,178,F2-KO,KO,F-2,uLEC,
178,179,H1-DM,DM,H-1,mLEC,0.0
179,180,H1-KY,KY,H-1,iLEC,0.0
180,181,H1-JV,JV,H-1,uLEC,
181,182,M9-TV,TV,M-9,mLEC,1.0
182,183,M9-SE,SE,M-9,iLEC,0.0
183,184,T7-KA,KA,T-7,mLEC,0.0
184,185,T7-KI,KI,T-7,iLEC,0.0
185,186,T7-VM,VM,T-7,uLEC,
186,187,T7-HI,HI,T-7,uLEC,
187,188,T7-S1,S1,T-7,uLEC,
188,189,T32-KA,KA,T-32,mLEC,0.0
189,190,T32-KI,KI,T-32,iLEC,0.0
190,191,T32-UF,UF,T-32,iLEC,1.0
191,192,T32-SS,SS,T-32,iLEC,2.0
192,193,T32-SP,SP,T-32,uLEC,
193,194,T32-VM,VM,T-32,uLEC,
194,195,T44-KA,KA,T-44,uLEC,
195,196,T44-S1,S1,T-44,uLEC,
196,197,T44-VM,VM,T-44,uLEC,
197,198,V4-KA,KA,V-4,mLEC,0.0
198,199,V4-KT,KT,V-4,iLEC,1.0
199,200,V4-HI,HI,V-4,uLEC,
200,201,HS-V13,HS-V13,V-13,iLEC,0.0
201,202,V13-IO,IO,V-13,iLEC,1.0
202,203,V13-KA,KA,V-13,uLEC,
203,204,V1-KA,KA,V-1,mLEC,0.0
204,205,V1-TV,TV,V-1,mLEC,1.0
205,206,V1-MF,MF,V-1,iLEC,0.0
206,207,V1-KI,KI,V-1,iLEC,1.0
207,208,V1-SA,SA,V-1,iLEC,2.0
208,209,V1-VT,VT,V-1,uLEC,
209,210,V1-TE,TE,V-1,uLEC,
210,211,T35-S1,S1,T-35,iLEC,0.0
211,212,T35-KA,KA,T-35,uLEC,
212,213,T10-VI,VI,T-10,iLEC,0.0
213,214,T22-KA,KA,T-22,iLEC,0.0
214,215,T22-SV,SV,T-22,iLEC,1.0
215,216,T22-VM,VM,T-22,uLEC,
216,217,V10-KA,KA,V-10,iLEC,0.0
217,218,V10-KI,KI,V-10,iLEC,1.0
218,219,V10-SP,SP,V-10,uLEC,
219,220,T13-KA,KA,T-13,mLEC,0.0
220,221,T13-S1,S1,T-13,mLEC,1.0
221,222,T13-UE,UE,T-13,iLEC,0.0
222,223,T13-BK,BK,T-13,uLEC,
223,224,T13-VI,VI,T-13,uLEC,
224,225,T16-KA,KA,T-16,mLEC,0.0
225,226,T16-KI,KI,T-16,iLEC,1.0
226,227,T16-UF,UF,T-16,uLEC,
227,228,T16-HI,HI,T-16,uLEC,
228,229,T16-BK,BK,T-16,uLEC,
229,230,T16-VI,VI,T-16,uLEC,
230,231,T16-VM,VM,T-16,uLEC,
231,232,T17-S1,S1,T-17,mLEC,0.0
232,233,T17-KA,KA,T-17,uLEC,
233,234,T17-KI,KI,T-17,uLEC,
234,235,M15-S3E,S3E,M-15,iLEC,0.0
235,236,M15-S3F,S3F,M-15,iLEC,1.0
236,237,HS-M15,HS-M15,M-15,iLEC,2.0
237,238,M15-DL,DL,M-15,uLEC,
238,239,M15-SA,SA,M-15,uLEC,
239,240,T6-KA,KA,T-6,iLEC,0.0
240,241,T6-VF,VF,T-6,iLEC,1.0
241,242,T6-HF,HF,T-6,iLEC,2.0
242,243,T6-IF,IF,T-6,iLEC,2.0
243,244,V7-KA,KA,V-7,iLEC,0.0
244,245,V7-TV,TV,V-7,uLEC,
245,246,M4-S3E,S3E,M-4,mLEC,0.0
246,247,M4-S3F,S3F,M-4,mLEC,1.0
247,248,M4-S3S,S3S,M-4,mLEC,2.0
248,249,M4-DL,DL,M-4,iLEC,0.0
249,250,M4-SA,SA,M-4,iLEC,1.0
250,251,M4-TV,TV,M-4,iLEC,2.0
251,252,M4-IO,IO,M-4,iLEC,2.0
252,253,M4-KA,KA,M-4,iLEC,2.0
253,254,M4-SE,SE,M-4,iLEC,2.0
254,255,HS-T39,HS-T39,T-39,iLEC,0.0
255,256,T39-KA,KA,T-39,iLEC,1.0
256,257,HS-L7,HS-L7,L-7,iLEC,0.0
257,258,L7-DL,DL,L-7,uLEC,
258,259,V2-KA,KA,V-2,mLEC,0.0
259,260,V2-TV,TV,V-2,iLEC,0.0
260,261,V2-KI,KI,V-2,iLEC,1.0
261,262,M12-DM,DM,M-12,mLEC,1.0
262,263,F4-VF,VF,F-4,uLEC,
263,264,F4-HU,HU,F-4,uLEC,
264,265,F4-KA,KA,F-4,uLEC,
265,266,F4-TU,TU,F-4,uLEC,
266,267,T34-KA,KA,T-34,mLEC,0.0
267,268,T34-UF,UF,T-34,mLEC,1.0
268,269,T34-VM,VM,T-34,iLEC,0.0
269,270,T34-BK,BK,T-34,uLEC,
270,271,HS-L8,HS-L8,L-8,iLEC,0.0
271,272,L8-DL,DL,L-8,uLEC,
272,273,T2-KA,KA,T-2,mLEC,0.0
273,274,T2-UF,UF,T-2,iLEC,0.0
274,275,T2-VM,VM,T-2,uLEC,
275,276,T2-HI,HI,T-2,uLEC,
276,277,T2-BK,BK,T-2,uLEC,
277,278,T25-S1,S1,T-25,mLEC,0.0
278,279,T25-KA,KA,T-25,uLEC,
279,280,T25-KI,KI,T-25,uLEC,
280,281,T24-VF,VF,T-24,mLEC,0.0
281,282,T24-VM,VM,T-24,uLEC,
282,283,V9-KA,KA,V-9,mLEC,0.0
283,284,V9-TV,TV,V-9,uLEC,
284,285,V9-KI,KI,V-9,uLEC,
285,286,V9-SP,SP,V-9,uLEC,
