pid,minorType_id,standardSegment_id
346,M3-16,M3-VF.cd
347,M3-16,M3-TV.ab
348,M3-16,M3-TV.cde
349,M3-17,M3-HF.+
350,M3-17,M3-SA.def
351,M3-17,M3-VF.efg
352,M3-17,M3-VF.h
353,M3-17,M3-TV.ab
354,M3-17,M3-TV.cde
355,M3-18,M3-HF.+
356,M3-18,M3-SA.a
357,M3-18,M3-SA.bc
358,M3-18,M3-VF.0ab
359,M3-18,M3-VF.cd
360,M3-18,M3-TV.ab
361,M3-18,M3-TV.cde
362,M3-19,M3-VF.0ab
363,M3-19,M3-VF.cd
364,M3-19,M3-TV.ab
365,M3-19,M3-TV.cde
366,M3-19,M3-IF.¤
367,M4-1,M4-DL.abc
368,M4-1,M4-SA.de
369,M4-1,M4-TV.0
370,M4-1,M4-S3E.0a
371,M4-1,M4-S3E.b
372,M4-1,M4-S3F.0a
373,M4-2,M4-DL.abc
374,M4-2,M4-SA.de
375,M4-2,M4-TV.0
376,M4-2,M4-S3E.0a
377,M4-2,M4-S3F.¤
378,M4-3,M4-DL.abc
379,M4-3,M4-SA.de
380,M4-3,M4-TV.0
381,M4-3,M4-S3E.c
382,M4-3,M4-S3F.0a
383,M4-4,M4-DL.abc
384,M4-4,M4-SA.de
385,M4-4,M4-TV.0
386,M4-4,M4-S3E.b
387,M4-4,M4-S3E.c
388,M4-4,M4-S3F.bc
389,M4-5,M4-DL.abc
390,M4-5,M4-SA.de
391,M4-5,M4-TV.0
392,M4-5,M4-S3E.b
393,M4-5,M4-S3E.c
394,M4-5,M4-S3E.d
395,M4-5,M4-S3F.¤
396,M4-6,M4-DL.abc
397,M4-6,M4-SA.de
398,M4-6,M4-TV.0
399,M4-6,M4-S3E.d
400,M4-6,M4-S3E.e
401,M4-6,M4-S3F.0a
402,M4-7,M4-DL.abc
403,M4-7,M4-SA.de
404,M4-7,M4-TV.0
405,M4-7,M4-S3E.d
406,M4-7,M4-S3F.bc
407,M4-8,M4-DL.abc
408,M4-8,M4-SA.de
409,M4-8,M4-TV.0
410,M4-8,M4-S3E.e
411,M4-8,M4-S3F.¤
412,M4-9,M4-DL.abc
413,M4-9,M4-SA.de
414,M4-9,M4-TV.0
415,M4-9,M4-S3E.0a
416,M4-9,M4-S3F.¤
417,M4-9,M4-IO.¤
418,M4-10,M4-DL.abc
419,M4-10,M4-SA.de
420,M4-10,M4-TV.0
421,M4-10,M4-S3S.a
422,M4-11,M4-DL.abc
423,M4-11,M4-SA.de
424,M4-11,M4-TV.0
425,M4-11,M4-S3S.b
426,M4-12,M4-DL.d
427,M4-12,M4-SA.de
428,M4-12,M4-S3E.0a
429,M4-12,M4-S3E.b
430,M4-12,M4-S3F.0a
431,M4-13,M4-DL.d
432,M4-13,M4-SA.de
433,M4-13,M4-S3E.0a
434,M4-13,M4-S3F.¤
435,M4-14,M4-DL.d
436,M4-14,M4-SA.de
437,M4-14,M4-S3E.c
438,M4-14,M4-S3E.d
439,M4-14,M4-S3E.e
440,M4-14,M4-S3F.0a
441,M4-15,M4-DL.d
442,M4-15,M4-SA.de
443,M4-15,M4-S3E.b
444,M4-15,M4-S3E.c
445,M4-15,M4-S3E.d
446,M4-15,M4-S3F.bc
447,M4-16,M4-DL.d
448,M4-16,M4-SA.de
449,M4-16,M4-S3E.b
450,M4-16,M4-S3E.c
451,M4-16,M4-S3E.d
452,M4-16,M4-S3F.¤
453,M4-17,M4-DL.d
454,M4-17,M4-SA.de
455,M4-17,M4-S3E.e
456,M4-17,M4-S3F.¤
457,M4-18,M4-DL.d
458,M4-18,M4-SA.de
459,M4-18,M4-S3E.0a
460,M4-18,M4-S3F.¤
461,M4-18,M4-IO.¤
462,M4-19,M4-DL.d
463,M4-19,M4-SA.de
464,M4-19,M4-S3S.a
465,M4-20,M4-DL.d
466,M4-20,M4-SA.de
467,M4-20,M4-S3S.b
468,M4-21,M4-DL.abc
469,M4-21,M4-SA.abc
470,M4-21,M4-TV.0
471,M4-21,M4-S3E.0a
472,M4-21,M4-S3E.b
473,M4-21,M4-S3F.0a
474,M4-22,M4-DL.abc
475,M4-22,M4-SA.abc
476,M4-22,M4-TV.0
477,M4-22,M4-S3E.0a
478,M4-22,M4-S3F.¤
479,M4-23,M4-DL.abc
480,M4-23,M4-SA.abc
481,M4-23,M4-TV.0
482,M4-23,M4-S3E.b
483,M4-23,M4-S3E.c
484,M4-23,M4-S3F.bc
485,M4-24,M4-DL.abc
486,M4-24,M4-SA.abc
487,M4-24,M4-TV.0
488,M4-24,M4-S3E.b
489,M4-24,M4-S3E.c
490,M4-24,M4-S3E.d
491,M4-24,M4-S3E.e
492,M4-24,M4-S3F.¤
493,M4-25,M4-DL.abc
494,M4-25,M4-SA.abc
495,M4-25,M4-TV.0
496,M4-25,M4-S3E.c
497,M4-25,M4-S3E.d
498,M4-25,M4-S3E.e
499,M4-25,M4-S3F.0a
500,M4-26,M4-DL.abc
501,M4-26,M4-SA.abc
502,M4-26,M4-TV.0
503,M4-26,M4-S3E.d
504,M4-26,M4-S3F.bc
505,M4-27,M4-DL.abc
506,M4-27,M4-SA.abc
507,M4-27,M4-TV.0
508,M4-27,M4-S3E.0a
509,M4-27,M4-S3F.¤
510,M4-27,M4-IO.¤
511,M4-28,M4-DL.abc
512,M4-28,M4-SA.abc
513,M4-28,M4-TV.0
514,M4-28,M4-S3E.0a
515,M4-28,M4-S3F.¤
516,M4-28,M4-KA.hi
517,M4-29,M4-DL.abc
518,M4-29,M4-SA.de
519,M4-29,M4-TV.ab
520,M4-29,M4-S3E.0a
521,M4-29,M4-S3E.b
522,M4-29,M4-S3F.0a
523,M4-30,M4-DL.abc
524,M4-30,M4-SA.de
525,M4-30,M4-TV.ab
526,M4-30,M4-S3E.0a
527,M4-30,M4-S3F.¤
528,M4-31,M4-DL.abc
529,M4-31,M4-SA.de
530,M4-31,M4-TV.ab
531,M4-31,M4-S3E.b
532,M4-31,M4-S3E.c
533,M4-31,M4-S3F.bc
534,M4-32,M4-DL.abc
535,M4-32,M4-SA.de
536,M4-32,M4-TV.ab
537,M4-32,M4-S3E.b
538,M4-32,M4-S3E.c
539,M4-32,M4-S3F.¤
540,M4-33,M4-DL.abc
541,M4-33,M4-SA.de
542,M4-33,M4-TV.ab
543,M4-33,M4-S3E.c
544,M4-33,M4-S3F.0a
545,M4-34,M4-DL.abc
546,M4-34,M4-SA.de
547,M4-34,M4-TV.ab
548,M4-34,M4-S3E.d
549,M4-34,M4-S3E.e
550,M4-34,M4-S3F.0a
551,M4-35,M4-DL.abc
552,M4-35,M4-SA.de
553,M4-35,M4-TV.ab
554,M4-35,M4-S3E.d
555,M4-35,M4-S3F.¤
556,M4-36,M4-DL.abc
557,M4-36,M4-SA.de
558,M4-36,M4-TV.ab
559,M4-36,M4-S3E.0a
560,M4-36,M4-S3F.¤
561,M4-36,M4-IO.¤
562,M4-37,M4-DL.abc
563,M4-37,M4-SA.de
564,M4-37,M4-TV.ab
565,M4-37,M4-S3S.a
566,M4-38,M4-DL.abc
567,M4-38,M4-SA.abc
568,M4-38,M4-TV.ab
569,M4-38,M4-S3E.0a
570,M4-38,M4-S3E.b
571,M4-38,M4-S3F.0a
572,M4-39,M4-DL.abc
573,M4-39,M4-SA.abc
574,M4-39,M4-TV.ab
575,M4-39,M4-S3E.0a
576,M4-39,M4-S3F.¤
577,M4-40,M4-DL.abc
578,M4-40,M4-SA.abc
579,M4-40,M4-TV.ab
580,M4-40,M4-S3E.b
581,M4-40,M4-S3E.c
582,M4-40,M4-S3F.bc
583,M4-41,M4-DL.abc
584,M4-41,M4-SA.abc
585,M4-41,M4-TV.ab
586,M4-41,M4-S3E.b
587,M4-41,M4-S3E.c
588,M4-41,M4-S3F.¤
589,M4-42,M4-DL.abc
590,M4-42,M4-SA.abc
591,M4-42,M4-TV.ab
592,M4-42,M4-S3E.d
593,M4-42,M4-S3F.¤
594,M4-43,M4-DL.abc
595,M4-43,M4-SA.abc
596,M4-43,M4-TV.ab
597,M4-43,M4-S3E.0a
598,M4-43,M4-S3F.¤
599,M4-43,M4-IO.¤
600,M4-44,M4-DL.abc
601,M4-44,M4-SA.abc
602,M4-44,M4-S3E.0a
603,M4-44,M4-S3E.b
604,M4-44,M4-S3E.c
605,M4-44,M4-S3E.d
606,M4-44,M4-S3E.e
607,M4-44,M4-S3F.0a
608,M4-44,M4-S3F.bc
609,M4-44,M4-SE.¤
610,M5-1,M5-DM.0
611,M5-1,M5-S3E.0a
612,M5-1,M5-S3E.b
613,M5-1,M5-S3F.0a
614,M5-2,M5-DM.0
615,M5-2,M5-S3E.0a
616,M5-2,M5-S3F.¤
